Category: All categories

Month,ciberacoso: (Ecuador),cyberbullying: (Ecuador),bullying cibernético: (Ecuador),acoso en internet: (Ecuador),acoso en redes sociales: (Ecuador)
2011-01,0,0,15,0,0
2011-02,0,0,0,0,0
2011-03,0,0,27,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,6,0,0,0,7
2011-07,0,6,0,0,0
2011-08,0,13,0,0,0
2011-09,8,0,0,0,5
2011-10,0,0,0,0,6
2011-11,0,9,0,9,0
2011-12,0,0,7,0,0
2012-01,0,0,0,0,13
2012-02,0,0,0,0,0
2012-03,0,3,8,0,0
2012-04,5,0,0,0,0
2012-05,0,0,0,0,0
2012-06,10,5,0,6,6
2012-07,0,5,0,0,0
2012-08,0,0,0,0,0
2012-09,0,5,18,0,0
2012-10,0,10,0,4,6
2012-11,0,4,0,3,4
2012-12,7,3,0,0,0
2013-01,3,0,0,0,0
2013-02,3,0,0,0,0
2013-03,8,4,0,0,0
2013-04,0,14,7,0,2
2013-05,4,6,3,0,0
2013-06,0,8,0,0,0
2013-07,0,10,7,4,0
2013-08,8,10,0,0,0
2013-09,0,3,0,0,0
2013-10,0,7,4,0,0
2013-11,2,9,0,0,0
2013-12,4,9,0,5,0
2014-01,4,4,2,0,0
2014-02,0,4,0,4,0
2014-03,0,5,2,2,0
2014-04,3,7,0,3,0
2014-05,0,7,0,0,0
2014-06,0,6,0,0,0
2014-07,2,0,0,0,2
2014-08,0,3,0,0,3
2014-09,6,4,0,0,0
2014-10,0,4,0,4,0
2014-11,3,3,8,0,7
2014-12,2,2,0,0,0
2015-01,0,6,0,0,0
2015-02,0,7,0,0,0
2015-03,0,5,2,0,0
2015-04,0,5,0,0,0
2015-05,0,2,0,0,2
2015-06,0,5,0,4,0
2015-07,5,4,0,2,0
2015-08,0,5,0,3,0
2015-09,3,4,0,0,0
2015-10,2,7,2,1,0
2015-11,0,8,0,0,0
2015-12,18,11,4,3,0
2016-01,0,10,0,0,0
2016-02,0,0,0,0,0
2016-03,0,8,0,0,3
2016-04,3,8,2,0,0
2016-05,2,0,2,0,0
2016-06,2,6,0,0,0
2016-07,0,2,2,0,0
2016-08,0,0,4,0,0
2016-09,3,2,4,0,2
2016-10,2,2,0,0,0
2016-11,0,7,0,0,6
2016-12,2,0,0,4,0
2017-01,2,2,0,0,0
2017-02,0,3,0,0,2
2017-03,3,7,2,0,0
2017-04,2,3,0,0,2
2017-05,2,3,5,0,0
2017-06,2,4,3,0,3
2017-07,3,0,4,0,0
2017-08,4,4,0,0,3
2017-09,0,4,0,3,2
2017-10,0,8,0,0,2
2017-11,0,4,0,0,0
2017-12,3,7,0,0,0
2018-01,2,7,4,0,2
2018-02,4,2,0,0,0
2018-03,3,9,0,0,2
2018-04,3,5,2,0,0
2018-05,4,7,3,2,0
2018-06,2,11,3,0,0
2018-07,0,10,0,4,5
2018-08,0,4,6,0,3
2018-09,3,4,4,0,3
2018-10,2,5,0,0,0
2018-11,3,5,0,0,3
2018-12,3,10,0,2,11
2019-01,5,7,2,3,0
2019-02,2,0,0,0,2
2019-03,6,5,0,0,5
2019-04,0,3,0,0,2
2019-05,4,5,0,2,3
2019-06,4,4,0,2,0
2019-07,3,7,0,0,4
2019-08,0,6,0,0,0
2019-09,1,0,2,0,6
2019-10,6,6,0,0,0
2019-11,3,11,0,0,4
2019-12,2,6,1,0,0
2020-01,6,4,0,0,4
2020-02,6,3,0,0,0
2020-03,0,5,0,0,1
2020-04,0,6,0,4,2
2020-05,1,6,0,0,0
2020-06,4,4,1,2,1
2020-07,2,6,0,2,0
2020-08,6,4,0,0,0
2020-09,4,10,2,1,1
2020-10,8,10,2,0,0
2020-11,8,8,2,0,0
2020-12,11,9,2,0,0
2021-01,8,5,0,3,2
2021-02,5,4,0,0,0
2021-03,3,4,0,3,4
2021-04,1,1,0,0,0
2021-05,100,23,5,7,6
2021-06,61,24,6,7,6
2021-07,9,8,1,1,2
2021-08,24,5,0,0,0
2021-09,32,9,2,3,0
2021-10,7,7,0,0,0
2021-11,18,8,0,4,1
2021-12,11,7,0,0,2
