Category: All categories

Month,depresión: (Ecuador),depresion: (Ecuador),tengo depresión + tengo depresion: (Ecuador),sintomas de depresion: (Ecuador),síntomas de depresión: (Ecuador)
2011-01,12,89,0,9,0
2011-02,15,70,5,0,3
2011-03,12,64,0,0,0
2011-04,8,64,0,5,0
2011-05,11,69,0,4,2
2011-06,12,73,8,0,0
2011-07,4,59,0,4,0
2011-08,8,53,0,8,0
2011-09,7,62,0,4,0
2011-10,8,77,4,0,0
2011-11,9,78,0,8,5
2011-12,8,54,0,0,0
2012-01,10,64,0,3,0
2012-02,8,61,0,5,0
2012-03,14,60,0,5,0
2012-04,10,58,0,4,0
2012-05,15,70,0,0,0
2012-06,10,62,0,2,0
2012-07,10,49,0,2,0
2012-08,7,52,0,2,0
2012-09,9,56,2,2,0
2012-10,12,67,1,1,0
2012-11,10,67,0,6,0
2012-12,9,55,2,0,2
2013-01,9,55,0,2,2
2013-02,5,46,1,2,0
2013-03,8,52,1,4,0
2013-04,13,57,2,5,0
2013-05,4,58,2,2,2
2013-06,10,70,5,0,0
2013-07,5,53,0,1,0
2013-08,6,54,1,4,0
2013-09,7,55,0,5,0
2013-10,13,64,0,0,0
2013-11,11,70,2,0,0
2013-12,9,52,2,2,0
2014-01,12,59,2,3,0
2014-02,9,63,1,7,0
2014-03,8,50,0,3,3
2014-04,8,53,2,0,0
2014-05,8,57,1,2,0
2014-06,12,70,2,3,0
2014-07,12,63,0,2,2
2014-08,13,69,0,2,0
2014-09,10,57,0,3,0
2014-10,14,73,1,0,0
2014-11,7,70,2,5,0
2014-12,8,57,1,1,0
2015-01,13,68,2,5,1
2015-02,9,61,0,2,0
2015-03,9,65,0,2,0
2015-04,12,64,0,3,0
2015-05,14,64,3,3,0
2015-06,15,71,0,0,3
2015-07,13,66,1,4,0
2015-08,12,58,0,1,0
2015-09,12,55,2,3,1
2015-10,13,66,0,1,1
2015-11,14,66,1,0,0
2015-12,11,62,2,3,1
2016-01,14,66,0,0,1
2016-02,15,63,0,3,0
2016-03,12,57,0,3,1
2016-04,11,56,2,1,0
2016-05,13,69,1,2,0
2016-06,16,71,0,3,0
2016-07,13,60,0,4,0
2016-08,9,57,1,2,1
2016-09,12,52,1,1,0
2016-10,10,55,0,3,0
2016-11,10,64,1,2,0
2016-12,11,50,0,3,0
2017-01,10,74,0,3,0
2017-02,13,60,0,1,0
2017-03,8,57,0,4,0
2017-04,16,68,1,3,1
2017-05,16,73,1,2,0
2017-06,21,76,2,3,0
2017-07,15,59,3,5,1
2017-08,10,65,2,2,0
2017-09,12,65,0,5,0
2017-10,16,70,1,3,2
2017-11,17,69,3,4,0
2017-12,18,68,1,1,0
2018-01,22,82,1,3,0
2018-02,14,72,1,3,0
2018-03,9,56,0,1,0
2018-04,17,65,1,5,0
2018-05,19,88,1,5,0
2018-06,17,80,1,1,0
2018-07,15,80,2,0,0
2018-08,18,72,2,3,1
2018-09,13,66,1,2,0
2018-10,22,90,1,4,2
2018-11,26,83,3,6,2
2018-12,21,85,2,4,0
2019-01,25,92,3,5,3
2019-02,23,89,0,1,0
2019-03,17,77,3,2,1
2019-04,22,82,2,5,1
2019-05,27,84,1,2,0
2019-06,31,94,3,5,0
2019-07,22,79,1,3,0
2019-08,20,68,2,3,0
2019-09,19,81,0,6,1
2019-10,25,82,2,4,1
2019-11,33,97,2,4,1
2019-12,30,89,3,4,0
2020-01,35,100,2,4,1
2020-02,28,89,0,5,3
2020-03,26,72,2,3,0
2020-04,31,80,4,7,1
2020-05,38,83,3,5,1
2020-06,35,82,1,5,1
2020-07,36,79,3,6,1
2020-08,40,81,2,5,0
2020-09,39,70,2,5,1
2020-10,49,85,2,5,1
2020-11,43,86,2,4,1
2020-12,43,79,1,5,3
2021-01,47,89,5,7,1
2021-02,44,86,2,6,1
2021-03,52,80,2,5,3
2021-04,46,83,4,5,3
2021-05,48,79,2,6,1
2021-06,52,83,3,4,1
2021-07,47,84,3,6,2
2021-08,49,75,3,3,2
2021-09,45,78,1,3,2
2021-10,45,74,3,4,0
2021-11,50,83,1,3,3
2021-12,56,82,2,5,4
