Category: All categories

Month,depresion ecuador: (Ecuador),depresión ecuador: (Ecuador),antidepresivo: (Ecuador)
2011-01,64,0,89
2011-02,0,0,84
2011-03,47,0,0
2011-04,44,0,0
2011-05,53,49,0
2011-06,26,0,36
2011-07,25,0,56
2011-08,33,0,0
2011-09,21,0,100
2011-10,88,41,38
2011-11,78,0,0
2011-12,77,0,0
2012-01,38,0,0
2012-02,29,0,0
2012-03,0,0,23
2012-04,31,21,25
2012-05,45,18,0
2012-06,54,0,0
2012-07,48,20,0
2012-08,28,17,0
2012-09,33,0,23
2012-10,52,0,0
2012-11,59,21,0
2012-12,35,0,34
2013-01,37,13,22
2013-02,32,0,20
2013-03,32,0,22
2013-04,0,0,0
2013-05,0,30,11
2013-06,44,0,16
2013-07,31,32,15
2013-08,20,0,0
2013-09,17,0,0
2013-10,43,21,0
2013-11,44,14,19
2013-12,66,13,21
2014-01,15,0,44
2014-02,47,0,0
2014-03,17,0,0
2014-04,30,13,17
2014-05,34,0,0
2014-06,18,0,26
2014-07,25,0,12
2014-08,19,41,0
2014-09,14,10,14
2014-10,30,0,17
2014-11,34,0,24
2014-12,19,0,0
2015-01,29,10,23
2015-02,29,0,38
2015-03,38,0,20
2015-04,18,22,0
2015-05,24,0,9
2015-06,24,0,34
2015-07,19,0,13
2015-08,0,0,0
2015-09,9,0,15
2015-10,23,0,0
2015-11,37,0,0
2015-12,28,0,0
2016-01,28,16,0
2016-02,0,0,10
2016-03,30,0,26
2016-04,25,0,11
2016-05,31,9,20
2016-06,51,0,14
2016-07,24,9,21
2016-08,28,0,21
2016-09,8,13,31
2016-10,20,13,9
2016-11,25,13,19
2016-12,22,0,57
2017-01,35,0,11
2017-02,21,0,23
2017-03,21,9,13
2017-04,57,25,13
2017-05,30,17,24
2017-06,45,16,17
2017-07,0,0,0
2017-08,14,0,15
2017-09,25,0,11
2017-10,18,0,0
2017-11,20,0,20
2017-12,27,10,17
2018-01,74,11,41
2018-02,41,13,35
2018-03,17,0,23
2018-04,40,25,15
2018-05,51,0,8
2018-06,48,32,17
2018-07,29,0,29
2018-08,30,0,18
2018-09,0,0,45
2018-10,44,0,0
2018-11,54,13,23
2018-12,32,16,0
2019-01,57,0,19
2019-02,28,40,25
2019-03,50,9,35
2019-04,25,17,21
2019-05,52,0,32
2019-06,72,8,24
2019-07,21,14,14
2019-08,27,0,0
2019-09,27,0,33
2019-10,40,10,9
2019-11,61,12,14
2019-12,76,28,15
2020-01,42,14,14
2020-02,32,10,7
2020-03,17,0,37
2020-04,0,10,27
2020-05,46,0,35
2020-06,36,17,34
2020-07,27,19,16
2020-08,46,18,14
2020-09,43,10,8
2020-10,25,35,16
2020-11,34,19,0
2020-12,15,16,23
2021-01,43,39,23
2021-02,52,38,8
2021-03,32,25,25
2021-04,28,26,7
2021-05,38,22,40
2021-06,43,25,13
2021-07,43,26,27
2021-08,25,22,13
2021-09,30,16,0
2021-10,17,38,34
2021-11,44,27,24
2021-12,25,37,19
