Category: All categories

Month,ansiedad: (Ecuador),síntomas de ansiedad: (Ecuador),calmar la ansiedad: (Ecuador),tengo ansiedad: (Ecuador)
2011-01,22,0,0,0
2011-02,19,0,0,1
2011-03,23,0,0,0
2011-04,21,0,0,0
2011-05,29,0,3,2
2011-06,22,0,0,1
2011-07,25,0,3,0
2011-08,19,0,0,0
2011-09,19,0,0,0
2011-10,22,0,0,0
2011-11,28,0,0,0
2011-12,19,1,0,0
2012-01,20,1,1,1
2012-02,19,0,2,0
2012-03,16,0,0,1
2012-04,26,0,0,0
2012-05,22,0,0,0
2012-06,25,0,0,1
2012-07,20,2,0,1
2012-08,16,1,1,0
2012-09,22,1,1,1
2012-10,22,0,1,0
2012-11,18,0,1,0
2012-12,18,0,0,1
2013-01,19,0,0,1
2013-02,18,0,0,1
2013-03,21,0,1,2
2013-04,21,0,0,<1
2013-05,26,0,0,1
2013-06,20,0,1,1
2013-07,19,0,0,0
2013-08,21,0,0,0
2013-09,18,1,1,0
2013-10,24,0,1,1
2013-11,25,0,0,1
2013-12,15,0,0,1
2014-01,24,0,1,0
2014-02,21,0,1,0
2014-03,18,0,1,0
2014-04,23,0,1,1
2014-05,24,3,1,1
2014-06,23,1,1,1
2014-07,24,0,0,1
2014-08,22,0,1,2
2014-09,23,0,0,<1
2014-10,22,0,1,<1
2014-11,23,0,1,0
2014-12,23,0,0,0
2015-01,22,0,0,0
2015-02,26,1,0,1
2015-03,26,0,1,0
2015-04,24,1,1,1
2015-05,28,<1,<1,1
2015-06,25,0,0,1
2015-07,26,0,1,1
2015-08,21,0,0,1
2015-09,21,<1,0,0
2015-10,25,0,0,0
2015-11,27,0,0,0
2015-12,26,0,0,1
2016-01,25,0,0,<1
2016-02,25,<1,<1,<1
2016-03,25,0,1,1
2016-04,26,0,1,<1
2016-05,26,0,1,1
2016-06,29,<1,1,1
2016-07,26,1,1,1
2016-08,25,0,0,2
2016-09,25,0,0,1
2016-10,28,<1,1,1
2016-11,30,0,1,1
2016-12,29,0,1,1
2017-01,34,0,1,<1
2017-02,30,1,0,1
2017-03,24,<1,1,0
2017-04,30,0,<1,1
2017-05,31,0,1,0
2017-06,34,1,1,1
2017-07,30,1,0,1
2017-08,35,0,0,<1
2017-09,29,0,1,0
2017-10,28,0,1,<1
2017-11,35,<1,1,<1
2017-12,34,0,<1,<1
2018-01,43,1,<1,1
2018-02,34,0,1,1
2018-03,33,0,<1,<1
2018-04,30,<1,0,0
2018-05,36,0,<1,0
2018-06,38,<1,0,0
2018-07,36,1,1,1
2018-08,38,0,0,1
2018-09,36,1,<1,0
2018-10,39,1,<1,1
2018-11,41,0,<1,1
2018-12,39,0,1,1
2019-01,40,0,<1,1
2019-02,41,1,2,0
2019-03,43,0,1,1
2019-04,40,0,1,1
2019-05,41,1,1,1
2019-06,42,<1,1,1
2019-07,44,<1,1,1
2019-08,50,1,2,1
2019-09,46,1,2,1
2019-10,45,1,1,1
2019-11,56,1,1,1
2019-12,48,1,2,1
2020-01,56,<1,1,1
2020-02,56,<1,1,2
2020-03,59,1,2,2
2020-04,100,3,4,4
2020-05,89,2,2,3
2020-06,77,1,1,2
2020-07,74,2,2,3
2020-08,70,2,2,3
2020-09,65,2,1,2
2020-10,65,1,2,2
2020-11,61,1,1,2
2020-12,60,1,1,2
2021-01,68,2,2,2
2021-02,68,1,2,2
2021-03,71,2,2,1
2021-04,79,2,2,2
2021-05,72,2,1,3
2021-06,67,2,2,3
2021-07,74,1,2,4
2021-08,71,3,2,3
2021-09,67,2,1,2
2021-10,66,1,2,2
2021-11,76,1,2,6
2021-12,79,2,1,4
