Category: All categories

Month,psicosis: (Ecuador),sicosis: (Ecuador),alucinaciones: (Ecuador),escuchar voces: (Ecuador)
2011-01,32,0,0,0
2011-02,77,0,14,0
2011-03,72,15,29,0
2011-04,71,0,19,0
2011-05,74,15,20,0
2011-06,52,17,36,0
2011-07,62,0,0,0
2011-08,86,0,37,17
2011-09,44,0,0,0
2011-10,100,0,12,0
2011-11,80,0,18,0
2011-12,50,0,0,14
2012-01,67,10,20,0
2012-02,84,9,14,24
2012-03,41,10,8,0
2012-04,68,18,11,0
2012-05,43,9,20,0
2012-06,40,10,9,0
2012-07,69,14,0,15
2012-08,66,0,12,0
2012-09,67,8,0,0
2012-10,99,0,20,0
2012-11,73,0,10,0
2012-12,70,0,17,0
2013-01,39,8,38,0
2013-02,36,0,0,0
2013-03,57,0,20,0
2013-04,58,0,21,7
2013-05,57,0,12,5
2013-06,68,0,0,0
2013-07,69,11,5,0
2013-08,44,0,14,7
2013-09,56,0,16,0
2013-10,44,8,11,0
2013-11,33,21,20,9
2013-12,55,6,8,0
2014-01,54,14,18,8
2014-02,68,0,11,24
2014-03,44,6,10,0
2014-04,63,4,0,7
2014-05,38,4,18,0
2014-06,69,0,10,4
2014-07,60,7,17,0
2014-08,57,7,12,0
2014-09,34,7,11,0
2014-10,38,8,4,5
2014-11,47,0,9,0
2014-12,52,11,8,0
2015-01,54,0,4,0
2015-02,60,5,7,0
2015-03,50,12,20,0
2015-04,52,6,12,0
2015-05,58,0,17,5
2015-06,85,0,7,9
2015-07,75,0,28,19
2015-08,41,4,18,6
2015-09,50,5,12,0
2015-10,68,0,20,9
2015-11,65,0,31,8
2015-12,44,0,11,6
2016-01,55,0,16,5
2016-02,57,0,13,0
2016-03,34,6,26,0
2016-04,41,0,14,0
2016-05,51,0,24,0
2016-06,60,4,13,0
2016-07,74,6,21,4
2016-08,55,0,13,0
2016-09,28,0,4,0
2016-10,46,4,18,0
2016-11,59,0,17,0
2016-12,36,0,14,6
2017-01,39,4,14,0
2017-02,45,0,10,10
2017-03,54,8,4,5
2017-04,57,11,21,0
2017-05,43,0,13,6
2017-06,44,5,19,0
2017-07,55,4,25,0
2017-08,57,7,6,5
2017-09,41,0,10,4
2017-10,56,0,12,3
2017-11,53,0,11,8
2017-12,48,19,15,4
2018-01,70,9,18,6
2018-02,55,11,10,0
2018-03,27,6,16,0
2018-04,37,11,11,0
2018-05,44,0,23,0
2018-06,57,11,21,0
2018-07,59,5,18,4
2018-08,59,5,0,10
2018-09,50,6,0,10
2018-10,48,13,16,12
2018-11,46,0,19,0
2018-12,54,0,12,12
2019-01,54,0,9,0
2019-02,87,0,13,0
2019-03,23,0,11,0
2019-04,56,6,17,0
2019-05,55,6,12,0
2019-06,51,0,24,0
2019-07,55,0,15,0
2019-08,33,6,5,5
2019-09,25,0,24,3
2019-10,54,0,18,7
2019-11,43,0,26,0
2019-12,41,0,18,0
2020-01,45,0,19,5
2020-02,39,0,14,0
2020-03,56,10,26,0
2020-04,54,0,21,0
2020-05,72,0,21,3
2020-06,72,0,27,7
2020-07,63,7,18,5
2020-08,48,0,17,0
2020-09,42,0,18,3
2020-10,31,0,18,0
2020-11,35,3,22,4
2020-12,52,0,34,3
2021-01,44,0,25,0
2021-02,44,0,25,0
2021-03,39,0,17,4
2021-04,44,0,15,6
2021-05,36,0,18,5
2021-06,49,21,23,3
2021-07,56,0,18,4
2021-08,37,0,18,0
2021-09,25,0,17,0
2021-10,36,0,21,0
2021-11,33,4,13,0
2021-12,42,0,26,0
