Category: All categories

Month,bipolaridad: (Ecuador),trastorno bipolar: (Ecuador),TOC: (Ecuador)
2011-01,24,25,32
2011-02,27,13,29
2011-03,21,29,57
2011-04,34,69,49
2011-05,28,30,32
2011-06,24,35,31
2011-07,30,25,48
2011-08,39,36,67
2011-09,39,24,37
2011-10,29,38,39
2011-11,18,34,31
2011-12,20,22,25
2012-01,8,27,26
2012-02,20,25,47
2012-03,15,33,37
2012-04,14,19,18
2012-05,15,24,18
2012-06,24,15,18
2012-07,40,22,30
2012-08,27,15,31
2012-09,27,45,33
2012-10,14,11,31
2012-11,32,6,25
2012-12,16,18,30
2013-01,27,22,27
2013-02,18,13,16
2013-03,17,14,18
2013-04,25,18,20
2013-05,24,23,27
2013-06,25,17,22
2013-07,24,12,24
2013-08,29,16,24
2013-09,20,21,31
2013-10,25,19,28
2013-11,28,21,26
2013-12,25,4,18
2014-01,15,22,21
2014-02,12,13,25
2014-03,17,13,14
2014-04,11,12,13
2014-05,16,20,41
2014-06,14,13,34
2014-07,12,10,34
2014-08,28,13,19
2014-09,29,11,23
2014-10,16,12,17
2014-11,24,10,23
2014-12,19,14,21
2015-01,19,11,15
2015-02,20,12,26
2015-03,21,20,26
2015-04,18,24,21
2015-05,19,12,24
2015-06,11,18,24
2015-07,28,16,25
2015-08,18,18,21
2015-09,15,15,22
2015-10,19,16,21
2015-11,20,16,28
2015-12,17,14,22
2016-01,18,29,27
2016-02,17,16,30
2016-03,9,9,24
2016-04,17,6,24
2016-05,15,11,22
2016-06,15,13,21
2016-07,24,16,24
2016-08,10,12,24
2016-09,11,11,27
2016-10,18,9,38
2016-11,18,9,37
2016-12,21,9,39
2017-01,18,18,32
2017-02,11,9,31
2017-03,17,12,30
2017-04,17,11,29
2017-05,14,11,30
2017-06,17,10,39
2017-07,18,10,24
2017-08,14,13,40
2017-09,14,6,26
2017-10,16,15,37
2017-11,11,13,22
2017-12,18,19,29
2018-01,11,12,26
2018-02,17,14,28
2018-03,15,7,20
2018-04,19,17,34
2018-05,14,10,33
2018-06,15,10,26
2018-07,20,12,35
2018-08,8,13,37
2018-09,18,6,35
2018-10,21,10,57
2018-11,18,12,47
2018-12,15,14,46
2019-01,16,18,56
2019-02,12,13,52
2019-03,21,12,40
2019-04,17,12,42
2019-05,15,10,47
2019-06,12,13,44
2019-07,16,15,41
2019-08,21,13,47
2019-09,27,9,50
2019-10,9,7,46
2019-11,22,11,56
2019-12,15,12,44
2020-01,20,22,66
2020-02,17,10,68
2020-03,13,11,96
2020-04,14,11,100
2020-05,14,10,96
2020-06,10,11,68
2020-07,12,13,73
2020-08,8,14,81
2020-09,14,10,78
2020-10,9,10,61
2020-11,16,10,75
2020-12,11,6,70
2021-01,13,13,88
2021-02,11,10,62
2021-03,13,13,67
2021-04,13,8,65
2021-05,14,13,70
2021-06,17,9,52
2021-07,11,9,48
2021-08,16,16,58
2021-09,11,12,51
2021-10,15,8,55
2021-11,17,9,57
2021-12,13,11,60
