Category: All categories

Month,esquizofrenia: (Ecuador),síntomas de esquizofrenia + sintomas de esquizofrenia: (Ecuador),estrés postraumatico: (Ecuador),estres postraumatico: (Ecuador),TEPT: (Ecuador)
2011-01,92,0,0,0,0
2011-02,55,0,0,5,0
2011-03,65,15,0,11,0
2011-04,43,0,0,0,0
2011-05,77,0,0,0,5
2011-06,71,0,0,0,0
2011-07,46,0,0,0,0
2011-08,45,0,0,0,0
2011-09,41,4,0,5,0
2011-10,60,22,0,0,0
2011-11,73,0,0,0,5
2011-12,66,0,0,6,6
2012-01,63,0,0,4,0
2012-02,71,0,0,0,0
2012-03,35,6,0,13,0
2012-04,71,6,0,0,0
2012-05,71,4,0,0,0
2012-06,61,7,0,7,0
2012-07,74,7,0,0,0
2012-08,54,0,0,5,0
2012-09,51,3,0,3,0
2012-10,73,7,0,6,0
2012-11,57,0,0,0,0
2012-12,57,4,0,0,0
2013-01,44,0,0,7,0
2013-02,61,0,0,7,0
2013-03,64,0,0,3,0
2013-04,47,0,0,9,0
2013-05,73,3,0,0,0
2013-06,60,0,0,4,0
2013-07,43,0,0,0,0
2013-08,40,0,0,6,0
2013-09,57,5,0,0,2
2013-10,50,5,0,2,0
2013-11,50,0,0,5,0
2013-12,62,3,0,0,0
2014-01,60,8,0,0,0
2014-02,55,5,0,0,0
2014-03,44,0,0,0,0
2014-04,56,0,0,0,0
2014-05,46,0,0,0,0
2014-06,61,0,0,12,3
2014-07,68,3,0,4,0
2014-08,36,0,0,3,0
2014-09,35,0,0,4,0
2014-10,45,8,0,2,0
2014-11,52,3,0,2,0
2014-12,51,5,0,8,0
2015-01,100,6,0,8,0
2015-02,59,4,0,5,0
2015-03,63,3,0,3,0
2015-04,56,0,0,5,0
2015-05,65,3,0,2,4
2015-06,75,5,0,4,0
2015-07,58,2,0,2,0
2015-08,54,0,0,4,0
2015-09,92,4,0,2,4
2015-10,66,4,0,4,0
2015-11,73,3,0,4,0
2015-12,68,3,0,5,0
2016-01,70,8,0,6,2
2016-02,57,8,0,4,4
2016-03,45,0,0,3,0
2016-04,48,0,0,14,11
2016-05,43,3,0,6,0
2016-06,76,5,0,8,2
2016-07,68,3,0,9,0
2016-08,59,5,0,0,2
2016-09,46,2,0,4,0
2016-10,49,4,0,7,2
2016-11,51,0,0,6,2
2016-12,63,4,0,6,3
2017-01,80,6,0,4,3
2017-02,56,3,0,5,0
2017-03,39,3,0,5,0
2017-04,52,0,0,6,0
2017-05,45,2,0,6,3
2017-06,68,3,0,3,0
2017-07,60,2,0,5,0
2017-08,59,0,0,6,0
2017-09,41,4,0,4,0
2017-10,52,0,0,0,0
2017-11,59,4,0,3,0
2017-12,64,0,0,14,0
2018-01,71,4,0,12,0
2018-02,66,5,0,2,0
2018-03,58,4,0,4,0
2018-04,61,2,0,4,0
2018-05,62,3,0,4,0
2018-06,60,0,0,4,2
2018-07,78,3,0,8,0
2018-08,70,3,0,7,0
2018-09,58,2,0,4,0
2018-10,60,0,0,0,0
2018-11,67,4,0,0,2
2018-12,68,2,0,0,2
2019-01,69,0,0,7,3
2019-02,67,0,0,4,0
2019-03,65,4,0,6,5
2019-04,62,4,0,6,2
2019-05,64,4,0,4,0
2019-06,63,0,0,11,0
2019-07,74,3,0,7,3
2019-08,67,3,0,3,2
2019-09,57,5,0,3,0
2019-10,54,4,0,4,3
2019-11,68,0,0,8,0
2019-12,80,4,0,0,0
2020-01,64,8,0,7,3
2020-02,60,4,0,0,5
2020-03,49,2,0,4,0
2020-04,47,3,0,7,2
2020-05,58,3,0,14,3
2020-06,53,4,0,13,3
2020-07,54,2,0,7,4
2020-08,52,3,0,9,1
2020-09,63,2,0,7,0
2020-10,52,3,0,5,1
2020-11,52,3,0,3,2
2020-12,60,6,0,10,2
2021-01,76,6,0,10,3
2021-02,83,4,0,16,2
2021-03,65,3,0,7,4
2021-04,58,5,0,5,9
2021-05,60,4,0,8,8
2021-06,63,3,0,8,5
2021-07,76,5,0,9,5
2021-08,59,2,0,11,4
2021-09,58,1,0,7,5
2021-10,61,3,0,8,23
2021-11,60,0,0,8,9
2021-12,69,4,0,4,3
