Category: All categories

Month,anorexia: (Ecuador),síntomas de la anorexia + sintomas de la anorexia: (Ecuador),tratamiento anorexia: (Ecuador),insomnio: (Ecuador)
2011-01,94,0,0,24
2011-02,90,10,0,25
2011-03,61,5,0,11
2011-04,54,0,0,17
2011-05,100,0,0,9
2011-06,58,8,0,19
2011-07,68,0,7,12
2011-08,74,0,3,15
2011-09,84,0,0,24
2011-10,75,0,0,11
2011-11,100,3,4,15
2011-12,92,2,2,15
2012-01,86,0,2,26
2012-02,67,4,0,24
2012-03,60,2,0,23
2012-04,66,3,0,19
2012-05,69,3,2,18
2012-06,62,0,0,19
2012-07,67,2,0,23
2012-08,53,0,0,16
2012-09,48,0,6,21
2012-10,54,0,3,15
2012-11,54,0,0,21
2012-12,67,0,2,19
2013-01,66,4,0,18
2013-02,45,2,0,22
2013-03,62,8,0,22
2013-04,61,2,0,22
2013-05,92,4,0,20
2013-06,96,1,0,16
2013-07,44,1,0,19
2013-08,35,0,2,29
2013-09,45,1,3,20
2013-10,51,3,0,15
2013-11,60,5,1,18
2013-12,55,0,1,19
2014-01,77,1,0,20
2014-02,57,3,2,20
2014-03,36,0,2,20
2014-04,52,0,0,21
2014-05,59,5,0,16
2014-06,63,1,2,18
2014-07,47,1,0,19
2014-08,46,2,0,19
2014-09,37,0,0,14
2014-10,43,0,2,23
2014-11,53,2,0,17
2014-12,47,3,1,16
2015-01,61,1,3,30
2015-02,48,1,0,17
2015-03,32,0,1,17
2015-04,39,0,1,22
2015-05,57,1,2,20
2015-06,72,1,4,19
2015-07,30,1,1,21
2015-08,37,0,3,22
2015-09,45,0,3,17
2015-10,44,1,0,19
2015-11,47,2,0,23
2015-12,41,0,3,21
2016-01,61,0,3,19
2016-02,26,0,3,26
2016-03,31,0,1,28
2016-04,42,2,0,18
2016-05,43,0,0,17
2016-06,66,1,1,16
2016-07,30,0,0,17
2016-08,38,3,1,18
2016-09,28,1,0,18
2016-10,28,0,0,17
2016-11,34,0,0,19
2016-12,33,0,0,17
2017-01,58,2,1,20
2017-02,39,0,0,20
2017-03,31,1,0,21
2017-04,25,3,0,23
2017-05,28,0,0,18
2017-06,40,0,0,20
2017-07,37,0,0,26
2017-08,34,0,0,24
2017-09,25,0,0,23
2017-10,41,2,0,20
2017-11,41,1,4,21
2017-12,32,1,0,20
2018-01,53,0,1,22
2018-02,24,0,3,27
2018-03,28,0,4,24
2018-04,24,0,2,25
2018-05,35,2,2,19
2018-06,36,0,0,21
2018-07,29,1,2,26
2018-08,29,0,0,27
2018-09,20,0,0,21
2018-10,35,1,0,21
2018-11,33,2,1,20
2018-12,30,1,0,22
2019-01,48,2,1,27
2019-02,22,0,0,27
2019-03,29,4,0,28
2019-04,20,0,0,30
2019-05,28,1,0,23
2019-06,37,1,0,22
2019-07,29,1,0,35
2019-08,27,0,0,31
2019-09,20,0,0,28
2019-10,31,0,2,27
2019-11,37,1,2,26
2019-12,29,1,1,27
2020-01,44,0,0,27
2020-02,26,0,0,33
2020-03,19,1,0,41
2020-04,27,2,1,77
2020-05,20,1,1,51
2020-06,27,1,1,35
2020-07,27,1,1,37
2020-08,33,1,3,37
2020-09,35,1,1,31
2020-10,44,2,2,30
2020-11,29,1,1,27
2020-12,39,2,0,31
2021-01,43,1,1,30
2021-02,31,0,0,36
2021-03,25,2,<1,28
2021-04,19,0,0,39
2021-05,23,1,1,30
2021-06,37,1,1,29
2021-07,31,1,2,28
2021-08,46,3,4,32
2021-09,31,1,1,23
2021-10,26,1,0,24
2021-11,39,1,1,27
2021-12,37,2,0,24
