Category: All categories

Month,no puedo dormir: (Ecuador),no tengo sueño: (Ecuador),trastorno del sueño: (Ecuador),pastillas para dormir: (Ecuador),tengo pesadillas: (Ecuador)
2011-01,0,12,0,45,0
2011-02,13,0,15,0,0
2011-03,35,24,0,23,0
2011-04,0,0,0,14,19
2011-05,26,0,0,42,0
2011-06,12,14,0,0,23
2011-07,11,16,0,14,0
2011-08,33,0,0,37,0
2011-09,23,0,0,68,0
2011-10,37,28,0,14,0
2011-11,10,0,16,15,0
2011-12,17,20,0,40,12
2012-01,38,0,0,10,0
2012-02,41,13,0,18,0
2012-03,29,18,0,13,0
2012-04,0,28,11,31,9
2012-05,23,0,0,32,0
2012-06,41,19,9,25,26
2012-07,42,0,21,34,0
2012-08,17,11,18,42,0
2012-09,25,14,0,29,0
2012-10,24,12,7,51,0
2012-11,20,17,24,37,13
2012-12,45,7,8,31,0
2013-01,35,19,0,15,0
2013-02,24,7,0,50,0
2013-03,19,10,8,44,0
2013-04,13,15,27,15,0
2013-05,30,0,0,18,0
2013-06,37,0,12,26,0
2013-07,22,10,8,19,0
2013-08,27,0,0,33,0
2013-09,17,0,17,15,0
2013-10,32,9,10,14,5
2013-11,18,12,5,17,5
2013-12,17,16,0,22,6
2014-01,34,0,0,24,0
2014-02,40,7,7,31,0
2014-03,25,6,5,50,0
2014-04,43,12,9,35,5
2014-05,28,11,0,43,0
2014-06,20,6,0,19,0
2014-07,25,10,0,45,0
2014-08,48,0,8,40,8
2014-09,24,12,0,46,0
2014-10,35,0,0,49,0
2014-11,15,8,5,38,0
2014-12,16,6,4,29,0
2015-01,26,7,10,38,6
2015-02,26,0,11,37,0
2015-03,11,0,4,40,7
2015-04,32,21,5,33,11
2015-05,19,14,9,44,9
2015-06,35,4,5,31,0
2015-07,31,9,0,65,0
2015-08,28,9,7,58,0
2015-09,27,6,9,55,8
2015-10,42,0,14,52,7
2015-11,25,12,0,53,7
2015-12,19,5,4,41,0
2016-01,23,9,4,46,0
2016-02,30,8,9,39,0
2016-03,29,4,5,40,0
2016-04,28,0,7,21,0
2016-05,20,0,6,23,0
2016-06,20,4,0,41,11
2016-07,29,11,0,43,0
2016-08,15,13,0,46,0
2016-09,24,10,4,43,0
2016-10,23,0,8,43,9
2016-11,27,0,0,29,5
2016-12,31,21,0,63,0
2017-01,40,5,10,36,0
2017-02,43,0,0,34,6
2017-03,37,6,0,36,0
2017-04,27,8,0,37,4
2017-05,19,5,8,43,0
2017-06,29,9,12,36,6
2017-07,33,0,9,73,0
2017-08,31,9,6,43,0
2017-09,30,4,12,39,5
2017-10,34,0,12,33,0
2017-11,24,14,6,43,0
2017-12,30,18,0,26,9
2018-01,40,17,0,40,0
2018-02,33,13,0,51,6
2018-03,35,8,7,38,0
2018-04,36,12,6,47,7
2018-05,21,6,7,24,0
2018-06,35,22,6,51,0
2018-07,36,8,10,38,11
2018-08,47,7,6,43,6
2018-09,24,0,5,51,6
2018-10,38,6,0,48,4
2018-11,46,8,14,41,7
2018-12,52,6,0,57,5
2019-01,31,9,11,44,5
2019-02,53,11,9,58,13
2019-03,49,5,0,63,11
2019-04,48,10,11,54,0
2019-05,45,15,12,57,0
2019-06,50,4,11,41,4
2019-07,19,9,9,55,5
2019-08,56,0,0,68,4
2019-09,55,13,13,65,0
2019-10,28,0,10,40,0
2019-11,35,4,0,47,0
2019-12,34,9,0,46,0
2020-01,43,17,10,64,0
2020-02,49,9,7,64,0
2020-03,62,12,12,50,8
2020-04,100,24,4,84,7
2020-05,77,17,10,77,0
2020-06,43,10,6,52,0
2020-07,55,5,13,50,6
2020-08,56,17,11,63,0
2020-09,37,6,11,49,0
2020-10,38,7,0,61,3
2020-11,45,10,0,68,2
2020-12,50,14,4,55,3
2021-01,43,18,9,55,0
2021-02,60,15,5,65,6
2021-03,58,14,9,70,3
2021-04,61,13,7,88,3
2021-05,56,14,5,61,6
2021-06,43,7,9,63,8
2021-07,60,12,11,72,5
2021-08,41,15,0,72,0
2021-09,46,0,7,56,8
2021-10,46,18,8,73,7
2021-11,46,13,0,64,12
2021-12,55,23,4,65,6
