Categoría: Todas las categorías

Mes,suicidio: (Ecuador),suicidio en Ecuador: (Ecuador),intento de suicidio: (Ecuador),suicidarse: (Ecuador),suicidarme: (Ecuador)
2011-01,43,4,6,7,5
2011-02,63,0,0,0,0
2011-03,53,3,4,4,0
2011-04,49,10,0,0,0
2011-05,58,0,0,6,0
2011-06,59,6,8,9,0
2011-07,59,3,0,4,8
2011-08,45,10,4,4,0
2011-09,50,4,0,2,0
2011-10,60,0,0,4,0
2011-11,59,0,0,3,0
2011-12,74,5,0,6,0
2012-01,44,4,0,0,0
2012-02,78,5,0,0,0
2012-03,80,0,0,2,6
2012-04,49,0,0,4,3
2012-05,51,2,0,3,6
2012-06,60,3,9,6,7
2012-07,53,0,3,0,0
2012-08,61,8,5,4,0
2012-09,61,0,0,0,7
2012-10,76,0,0,4,0
2012-11,61,4,0,3,0
2012-12,67,0,0,0,0
2013-01,73,5,2,4,2
2013-02,58,2,0,4,2
2013-03,73,3,0,5,0
2013-04,57,1,0,3,0
2013-05,66,6,5,3,0
2013-06,72,2,2,10,5
2013-07,57,2,3,4,3
2013-08,73,7,0,0,8
2013-09,63,2,0,4,0
2013-10,65,1,0,2,2
2013-11,100,6,0,8,2
2013-12,53,0,0,5,1
2014-01,70,2,0,5,6
2014-02,60,0,3,7,3
2014-03,62,0,0,4,1
2014-04,55,2,0,6,2
2014-05,58,5,2,5,3
2014-06,61,4,4,5,3
2014-07,55,0,0,3,2
2014-08,62,1,0,10,0
2014-09,49,0,0,6,2
2014-10,51,4,0,5,0
2014-11,58,3,3,5,2
2014-12,51,2,0,4,4
2015-01,58,2,0,8,3
2015-02,50,3,0,6,1
2015-03,51,2,2,8,2
2015-04,55,2,2,3,0
2015-05,48,2,1,8,2
2015-06,46,0,2,7,4
2015-07,55,2,0,1,2
2015-08,44,0,0,9,2
2015-09,54,0,0,6,0
2015-10,62,4,0,4,0
2015-11,31,0,0,6,2
2015-12,47,0,3,6,0
2016-01,49,1,3,5,0
2016-02,38,0,0,6,3
2016-03,43,4,0,7,2
2016-04,36,1,0,2,0
2016-05,38,2,2,6,1
2016-06,50,3,0,5,2
2016-07,34,0,0,8,4
2016-08,33,0,3,5,0
2016-09,43,2,3,8,0
2016-10,33,0,3,5,1
2016-11,38,3,0,2,2
2016-12,35,0,1,7,1
2017-01,37,0,1,4,0
2017-02,32,0,0,6,2
2017-03,25,0,0,6,2
2017-04,33,1,2,7,2
2017-05,44,0,1,6,1
2017-06,42,2,3,10,3
2017-07,29,1,0,7,1
2017-08,35,2,1,3,1
2017-09,35,0,0,6,1
2017-10,34,2,0,7,2
2017-11,38,2,0,3,1
2017-12,51,2,3,9,0
2018-01,48,3,0,11,0
2018-02,36,1,1,5,5
2018-03,27,0,2,5,0
2018-04,35,2,0,7,0
2018-05,48,2,1,5,1
2018-06,57,1,3,8,1
2018-07,34,2,0,10,0
2018-08,38,0,4,7,2
2018-09,52,0,0,8,0
2018-10,40,3,0,8,3
2018-11,33,2,0,8,0
2018-12,44,0,1,7,3
2019-01,44,2,4,12,2
2019-02,60,5,3,10,4
2019-03,47,2,1,10,0
2019-04,44,1,0,9,1
2019-05,44,4,2,8,1
2019-06,45,0,1,9,4
2019-07,37,3,0,9,0
2019-08,35,2,0,9,7
2019-09,68,4,0,8,1
2019-10,47,1,2,6,1
2019-11,38,1,0,4,4
2019-12,45,0,0,9,5
2020-01,50,1,0,10,4
2020-02,34,0,2,9,3
2020-03,36,0,0,6,0
2020-04,37,0,1,9,1
2020-05,36,1,0,5,2
2020-06,33,1,0,7,0
2020-07,35,4,0,6,0
2020-08,28,0,2,5,0
2020-09,59,3,1,7,1
2020-10,32,1,1,6,2
2020-11,31,2,1,9,5
2020-12,47,4,1,11,5
2021-01,44,3,2,9,1
2021-02,32,0,1,7,3
2021-03,39,2,0,10,2
2021-04,45,0,2,7,2
2021-05,37,4,1,12,2
2021-06,33,3,1,17,2
2021-07,34,2,1,7,2
2021-08,30,0,1,10,1
2021-09,61,4,2,11,5
2021-10,35,1,0,12,3
2021-11,29,2,0,7,3
2021-12,48,3,1,8,0
