Category: All categories

Month,homofobia: (Ecuador),lesbofobia: (Ecuador),transfobia: (Ecuador)
2011-01,32,0,13
2011-02,0,0,0
2011-03,0,0,0
2011-04,43,0,0
2011-05,36,0,0
2011-06,0,0,0
2011-07,10,11,0
2011-08,31,0,0
2011-09,9,0,0
2011-10,15,0,12
2011-11,15,0,0
2011-12,0,0,0
2012-01,9,0,0
2012-02,17,0,0
2012-03,19,0,0
2012-04,16,0,16
2012-05,92,14,0
2012-06,15,0,0
2012-07,0,60,0
2012-08,0,0,0
2012-09,20,0,0
2012-10,22,0,0
2012-11,23,17,19
2012-12,45,13,9
2013-01,23,0,0
2013-02,26,0,0
2013-03,36,0,0
2013-04,21,0,0
2013-05,46,0,7
2013-06,20,0,0
2013-07,9,0,0
2013-08,24,0,5
2013-09,11,14,0
2013-10,29,0,5
2013-11,37,0,0
2013-12,31,5,0
2014-01,32,0,18
2014-02,22,0,0
2014-03,30,0,0
2014-04,34,0,8
2014-05,60,0,16
2014-06,37,0,0
2014-07,30,7,0
2014-08,21,0,8
2014-09,30,5,0
2014-10,18,8,0
2014-11,34,0,0
2014-12,17,0,0
2015-01,33,0,0
2015-02,25,0,0
2015-03,18,16,0
2015-04,18,0,0
2015-05,47,7,5
2015-06,33,0,0
2015-07,15,0,0
2015-08,20,5,0
2015-09,14,0,0
2015-10,16,0,0
2015-11,23,0,0
2015-12,13,4,0
2016-01,15,0,0
2016-02,16,5,0
2016-03,22,0,0
2016-04,20,0,0
2016-05,34,0,7
2016-06,63,3,0
2016-07,22,9,0
2016-08,22,0,0
2016-09,18,4,0
2016-10,23,3,0
2016-11,16,0,9
2016-12,22,3,0
2017-01,28,0,0
2017-02,18,0,0
2017-03,31,0,0
2017-04,17,0,0
2017-05,37,5,0
2017-06,36,0,3
2017-07,31,0,0
2017-08,20,4,0
2017-09,22,0,0
2017-10,35,0,0
2017-11,34,0,0
2017-12,11,0,0
2018-01,8,0,3
2018-02,20,5,0
2018-03,29,0,0
2018-04,15,0,0
2018-05,37,0,11
2018-06,27,0,0
2018-07,37,3,0
2018-08,24,0,0
2018-09,22,0,0
2018-10,26,0,11
2018-11,50,0,3
2018-12,42,6,0
2019-01,45,6,3
2019-02,27,0,7
2019-03,33,0,0
2019-04,22,0,0
2019-05,49,0,3
2019-06,100,0,10
2019-07,62,0,3
2019-08,31,4,0
2019-09,18,6,0
2019-10,27,0,0
2019-11,21,0,0
2019-12,28,0,8
2020-01,28,3,0
2020-02,14,5,6
2020-03,18,0,3
2020-04,22,0,4
2020-05,65,0,7
2020-06,57,0,6
2020-07,25,0,0
2020-08,19,0,3
2020-09,29,0,0
2020-10,32,0,5
2020-11,16,0,4
2020-12,25,0,8
2021-01,31,0,4
2021-02,31,0,5
2021-03,15,0,0
2021-04,19,0,0
2021-05,39,0,8
2021-06,38,4,5
2021-07,47,0,0
2021-08,28,0,3
2021-09,24,0,3
2021-10,24,0,3
2021-11,22,0,9
2021-12,15,0,0
