Category: All categories

Month,racismo: (Ecuador),discriminación racial: (Ecuador),xenofobia: (Ecuador),como migrar: (Ecuador)
2011-01,10,0,2,0
2011-02,10,0,4,2
2011-03,23,2,6,4
2011-04,15,6,5,0
2011-05,34,4,5,2
2011-06,30,2,8,3
2011-07,13,1,4,3
2011-08,9,0,8,3
2011-09,16,0,6,0
2011-10,23,0,5,2
2011-11,24,0,4,2
2011-12,20,0,3,2
2012-01,26,2,5,0
2012-02,20,0,4,2
2012-03,20,2,5,3
2012-04,13,0,5,0
2012-05,15,0,9,0
2012-06,17,0,6,5
2012-07,11,0,5,0
2012-08,19,1,4,2
2012-09,29,2,8,1
2012-10,20,2,8,4
2012-11,17,1,6,2
2012-12,16,1,6,0
2013-01,13,0,8,0
2013-02,8,0,5,0
2013-03,14,2,6,3
2013-04,11,1,9,2
2013-05,15,0,9,0
2013-06,16,1,6,1
2013-07,19,0,6,2
2013-08,11,2,8,1
2013-09,13,1,8,1
2013-10,20,1,8,3
2013-11,22,1,10,2
2013-12,18,1,11,0
2014-01,24,1,13,1
2014-02,14,1,8,0
2014-03,20,1,9,0
2014-04,14,0,7,1
2014-05,25,1,9,2
2014-06,17,1,9,0
2014-07,18,1,9,1
2014-08,18,2,9,2
2014-09,18,1,6,0
2014-10,22,3,8,1
2014-11,23,1,16,2
2014-12,18,0,14,1
2015-01,23,2,13,1
2015-02,11,2,7,2
2015-03,16,2,16,2
2015-04,11,1,7,0
2015-05,15,0,7,2
2015-06,21,0,9,1
2015-07,22,<1,9,2
2015-08,18,2,15,1
2015-09,16,0,11,1
2015-10,24,2,15,1
2015-11,23,1,19,1
2015-12,17,0,14,2
2016-01,18,1,11,0
2016-02,12,0,10,1
2016-03,11,2,18,2
2016-04,9,1,10,2
2016-05,13,1,9,0
2016-06,19,1,8,2
2016-07,20,1,9,1
2016-08,16,0,6,<1
2016-09,15,1,9,2
2016-10,15,1,6,0
2016-11,18,1,16,2
2016-12,16,2,7,2
2017-01,18,0,9,2
2017-02,10,0,7,1
2017-03,15,1,8,2
2017-04,11,1,7,1
2017-05,16,<1,6,1
2017-06,23,0,6,2
2017-07,10,0,7,1
2017-08,15,1,5,1
2017-09,15,0,18,0
2017-10,19,1,7,0
2017-11,19,0,8,0
2017-12,15,1,8,0
2018-01,20,2,11,1
2018-02,13,2,8,1
2018-03,12,1,8,2
2018-04,14,1,9,2
2018-05,24,0,15,1
2018-06,15,0,16,1
2018-07,15,2,13,0
2018-08,19,1,30,1
2018-09,12,1,19,2
2018-10,15,1,13,2
2018-11,19,2,13,2
2018-12,14,1,10,0
2019-01,23,1,90,2
2019-02,10,1,28,1
2019-03,14,2,18,2
2019-04,13,1,16,1
2019-05,15,<1,12,0
2019-06,19,0,13,2
2019-07,11,<1,8,1
2019-08,16,1,12,1
2019-09,13,1,11,0
2019-10,20,1,22,1
2019-11,19,1,16,1
2019-12,14,<1,10,1
2020-01,19,1,8,4
2020-02,7,0,12,1
2020-03,11,1,12,1
2020-04,22,1,14,0
2020-05,20,0,10,1
2020-06,75,2,8,1
2020-07,100,2,15,2
2020-08,30,2,8,1
2020-09,31,2,10,2
2020-10,27,<1,8,2
2020-11,21,2,6,0
2020-12,20,1,8,1
2021-01,19,2,7,1
2021-02,16,1,12,1
2021-03,18,<1,12,2
2021-04,14,2,9,2
2021-05,15,2,12,2
2021-06,20,1,10,1
2021-07,19,1,10,1
2021-08,15,2,6,1
2021-09,17,2,8,1
2021-10,18,1,7,1
2021-11,22,1,9,0
2021-12,15,<1,8,1
