Category: All categories

Month,trabajo eeuu + trabajo estados unidos: (Ecuador),trabajo mexico + trabajo México: (Ecuador)
2011-01,53,0
2011-02,33,0
2011-03,0,10
2011-04,25,24
2011-05,22,31
2011-06,13,18
2011-07,20,17
2011-08,37,42
2011-09,15,23
2011-10,20,9
2011-11,22,19
2011-12,35,0
2012-01,29,13
2012-02,9,17
2012-03,18,0
2012-04,19,18
2012-05,24,12
2012-06,28,12
2012-07,16,8
2012-08,28,10
2012-09,16,11
2012-10,16,7
2012-11,20,8
2012-12,10,33
2013-01,12,0
2013-02,10,10
2013-03,19,12
2013-04,28,0
2013-05,27,11
2013-06,22,5
2013-07,21,11
2013-08,16,5
2013-09,23,14
2013-10,20,6
2013-11,7,8
2013-12,9,0
2014-01,14,11
2014-02,7,0
2014-03,7,10
2014-04,13,7
2014-05,14,17
2014-06,10,8
2014-07,27,12
2014-08,27,3
2014-09,12,21
2014-10,15,9
2014-11,18,13
2014-12,13,4
2015-01,23,9
2015-02,17,4
2015-03,19,14
2015-04,21,7
2015-05,13,11
2015-06,22,10
2015-07,19,8
2015-08,19,4
2015-09,23,4
2015-10,30,3
2015-11,17,11
2015-12,23,0
2016-01,23,10
2016-02,32,15
2016-03,43,12
2016-04,29,0
2016-05,32,0
2016-06,30,15
2016-07,15,8
2016-08,22,12
2016-09,34,15
2016-10,54,12
2016-11,24,7
2016-12,16,7
2017-01,26,8
2017-02,13,5
2017-03,23,9
2017-04,26,14
2017-05,37,0
2017-06,22,5
2017-07,32,9
2017-08,17,17
2017-09,17,20
2017-10,19,4
2017-11,21,4
2017-12,5,6
2018-01,21,9
2018-02,22,14
2018-03,20,6
2018-04,25,4
2018-05,18,9
2018-06,33,8
2018-07,34,5
2018-08,22,13
2018-09,25,9
2018-10,23,5
2018-11,29,17
2018-12,18,4
2019-01,17,13
2019-02,27,9
2019-03,27,9
2019-04,25,0
2019-05,25,7
2019-06,35,14
2019-07,32,8
2019-08,19,12
2019-09,32,5
2019-10,29,7
2019-11,33,17
2019-12,19,9
2020-01,27,0
2020-02,24,10
2020-03,23,8
2020-04,18,11
2020-05,22,8
2020-06,20,8
2020-07,19,10
2020-08,25,8
2020-09,25,8
2020-10,25,6
2020-11,39,12
2020-12,20,9
2021-01,25,18
2021-02,30,12
2021-03,32,13
2021-04,42,5
2021-05,42,7
2021-06,43,9
2021-07,42,9
2021-08,56,7
2021-09,48,18
2021-10,51,10
2021-11,100,8
2021-12,57,6
