Categoría: Todas las categorías

Mes,no quiero vivir: (Ecuador),ya no quiero vivir: (Ecuador),pánico + panico: (Ecuador),ataques de panico: (Ecuador),ataque de pánico: (Ecuador)
2011-01,29,0,19,12,0
2011-02,30,0,40,30,0
2011-03,12,13,43,14,11
2011-04,19,0,47,14,0
2011-05,15,0,44,15,11
2011-06,20,13,37,0,10
2011-07,41,0,36,0,0
2011-08,43,6,33,0,0
2011-09,22,7,31,0,0
2011-10,24,13,30,0,0
2011-11,41,0,22,7,0
2011-12,22,9,52,10,14
2012-01,21,0,71,6,0
2012-02,20,9,51,0,0
2012-03,22,0,36,0,0
2012-04,21,0,35,0,0
2012-05,32,12,38,11,0
2012-06,13,6,47,13,0
2012-07,7,5,37,0,8
2012-08,19,6,61,0,12
2012-09,15,11,44,0,0
2012-10,12,0,45,6,0
2012-11,20,0,50,7,0
2012-12,19,0,43,6,0
2013-01,13,0,30,8,0
2013-02,18,0,38,0,8
2013-03,15,4,50,12,0
2013-04,17,0,43,15,0
2013-05,12,6,31,8,0
2013-06,15,4,42,5,4
2013-07,5,0,40,0,0
2013-08,11,0,43,0,0
2013-09,23,12,32,6,0
2013-10,13,0,36,4,0
2013-11,11,3,41,14,0
2013-12,21,7,35,11,0
2014-01,12,4,59,12,3
2014-02,9,0,43,0,0
2014-03,7,6,43,0,7
2014-04,0,6,46,6,0
2014-05,13,5,69,7,3
2014-06,15,4,46,3,0
2014-07,6,0,31,0,0
2014-08,17,5,74,22,0
2014-09,13,4,38,10,7
2014-10,11,0,48,4,0
2014-11,12,0,52,9,0
2014-12,14,0,50,7,0
2015-01,0,0,45,0,0
2015-02,5,0,52,0,0
2015-03,15,0,48,4,0
2015-04,18,0,43,15,5
2015-05,13,0,40,3,0
2015-06,7,0,72,5,4
2015-07,0,0,42,5,0
2015-08,15,5,45,3,0
2015-09,12,4,43,4,0
2015-10,17,0,41,6,0
2015-11,13,0,44,3,0
2015-12,8,0,39,0,7
2016-01,5,8,41,4,0
2016-02,6,4,44,5,0
2016-03,9,0,38,0,0
2016-04,7,6,43,0,0
2016-05,4,0,43,0,0
2016-06,9,0,41,5,0
2016-07,11,3,53,3,3
2016-08,7,0,45,0,2
2016-09,10,6,38,0,2
2016-10,8,2,21,0,0
2016-11,4,0,45,0,0
2016-12,12,4,33,11,0
2017-01,8,5,41,0,0
2017-02,12,0,31,8,0
2017-03,14,9,53,5,0
2017-04,7,0,31,5,0
2017-05,7,2,46,4,0
2017-06,11,0,47,0,0
2017-07,16,3,41,0,0
2017-08,12,3,29,8,0
2017-09,15,6,40,3,5
2017-10,15,8,43,10,0
2017-11,10,0,48,3,0
2017-12,9,0,48,2,3
2018-01,9,5,44,5,0
2018-02,11,3,38,0,3
2018-03,12,3,53,6,0
2018-04,11,3,47,4,0
2018-05,9,6,46,7,0
2018-06,10,5,34,5,0
2018-07,10,3,41,4,0
2018-08,9,0,31,5,0
2018-09,0,0,37,9,0
2018-10,11,5,33,0,0
2018-11,10,6,44,8,5
2018-12,7,0,44,19,3
2019-01,10,0,42,8,0
2019-02,8,0,61,5,0
2019-03,12,0,40,14,0
2019-04,9,4,44,7,0
2019-05,10,4,36,4,0
2019-06,8,0,46,0,0
2019-07,11,0,52,13,0
2019-08,10,8,44,8,0
2019-09,3,0,47,3,0
2019-10,10,2,68,4,0
2019-11,2,0,43,10,0
2019-12,5,0,48,0,0
2020-01,12,4,45,8,0
2020-02,11,3,59,6,0
2020-03,6,6,100,5,4
2020-04,10,5,81,12,2
2020-05,0,0,57,16,0
2020-06,4,0,57,2,2
2020-07,2,0,55,9,0
2020-08,12,5,46,4,6
2020-09,10,2,49,4,0
2020-10,9,0,62,12,0
2020-11,7,2,50,5,2
2020-12,6,2,46,3,0
2021-01,6,3,71,14,2
2021-02,8,0,65,11,5
2021-03,8,5,76,12,6
2021-04,11,0,53,8,6
2021-05,10,5,43,5,2
2021-06,8,2,48,11,0
2021-07,10,3,65,4,2
2021-08,13,0,60,8,2
2021-09,7,3,46,7,0
2021-10,5,2,49,2,0
2021-11,8,5,48,5,0
2021-12,13,3,48,6,2
