Categoría: Todas las categorías

Mes,tengo miedo: (Ecuador),fobia: (Ecuador),sentimientos de tristeza: (Ecuador),estoy triste: (Ecuador),estoy enojado: (Ecuador)
2011-01,74,36,0,22,0
2011-02,71,46,0,17,14
2011-03,70,46,0,11,0
2011-04,57,44,0,19,0
2011-05,44,31,0,16,0
2011-06,57,42,0,0,21
2011-07,97,35,0,10,0
2011-08,73,46,0,25,0
2011-09,74,32,7,19,9
2011-10,85,25,0,14,0
2011-11,67,43,0,20,12
2011-12,100,29,0,16,0
2012-01,79,46,0,19,8
2012-02,58,45,0,15,0
2012-03,77,33,0,31,0
2012-04,46,35,0,28,0
2012-05,74,41,8,29,0
2012-06,79,38,0,35,0
2012-07,89,34,0,37,0
2012-08,78,26,0,50,0
2012-09,97,44,0,35,0
2012-10,75,35,5,34,5
2012-11,60,36,4,54,0
2012-12,62,50,0,11,0
2013-01,49,42,0,22,0
2013-02,100,64,8,34,0
2013-03,55,36,0,27,0
2013-04,73,44,0,26,0
2013-05,55,35,0,28,5
2013-06,53,56,0,22,0
2013-07,82,39,0,40,0
2013-08,48,45,8,35,0
2013-09,58,30,0,20,0
2013-10,56,25,0,31,4
2013-11,62,42,0,32,4
2013-12,75,43,3,29,0
2014-01,54,53,3,22,0
2014-02,54,24,0,31,0
2014-03,49,31,0,31,0
2014-04,50,52,0,25,0
2014-05,41,48,0,34,0
2014-06,49,36,0,32,0
2014-07,61,56,6,27,0
2014-08,63,43,0,35,0
2014-09,65,22,0,38,5
2014-10,60,32,0,36,0
2014-11,53,40,0,30,0
2014-12,72,33,0,31,0
2015-01,55,44,0,31,0
2015-02,71,39,7,27,0
2015-03,57,43,0,40,4
2015-04,48,41,0,37,0
2015-05,55,47,0,38,5
2015-06,52,38,0,33,5
2015-07,53,35,5,36,0
2015-08,48,43,0,38,3
2015-09,62,41,0,38,4
2015-10,49,41,0,32,0
2015-11,50,37,0,37,5
2015-12,58,38,0,35,0
2016-01,45,53,0,33,5
2016-02,40,36,0,36,0
2016-03,53,38,4,49,0
2016-04,65,38,0,38,0
2016-05,48,43,3,38,6
2016-06,57,27,0,42,0
2016-07,46,34,3,35,5
2016-08,43,20,0,43,10
2016-09,41,45,0,42,0
2016-10,42,30,0,36,0
2016-11,45,42,3,38,5
2016-12,40,39,0,30,3
2017-01,43,39,0,30,8
2017-02,52,37,0,38,10
2017-03,45,31,0,41,3
2017-04,51,29,0,31,7
2017-05,48,50,0,36,4
2017-06,41,32,0,27,4
2017-07,55,35,0,36,6
2017-08,57,29,0,35,3
2017-09,53,36,5,35,6
2017-10,57,33,4,31,4
2017-11,54,47,0,32,7
2017-12,59,40,2,37,0
2018-01,42,44,0,35,3
2018-02,55,37,0,39,0
2018-03,55,38,3,34,6
2018-04,60,40,0,29,0
2018-05,60,44,0,27,4
2018-06,54,42,0,27,10
2018-07,85,44,5,34,7
2018-08,73,45,3,28,2
2018-09,67,24,0,23,4
2018-10,64,50,0,26,7
2018-11,65,35,0,24,10
2018-12,76,50,0,35,0
2019-01,71,46,10,27,4
2019-02,79,37,3,15,4
2019-03,76,31,12,25,10
2019-04,61,47,0,23,6
2019-05,57,45,0,24,8
2019-06,50,50,0,34,6
2019-07,67,51,0,29,8
2019-08,71,60,0,37,9
2019-09,58,49,3,25,4
2019-10,51,53,0,23,0
2019-11,40,55,0,37,0
2019-12,44,53,3,25,7
2020-01,45,54,0,26,3
2020-02,44,52,3,35,0
2020-03,53,44,0,34,0
2020-04,58,60,0,32,9
2020-05,39,57,0,21,7
2020-06,40,51,8,34,5
2020-07,30,54,6,23,5
2020-08,46,48,3,26,5
2020-09,38,51,0,28,6
2020-10,38,53,4,18,5
2020-11,36,47,3,33,3
2020-12,35,60,0,22,3
2021-01,43,65,3,18,6
2021-02,40,61,0,23,3
2021-03,35,48,2,24,6
2021-04,36,50,4,22,5
2021-05,40,56,0,31,4
2021-06,36,61,3,22,4
2021-07,32,85,3,22,6
2021-08,44,60,0,18,2
2021-09,33,50,0,26,5
2021-10,40,44,2,19,7
2021-11,30,43,6,24,3
2021-12,40,58,3,22,3
