Categoría: Todas las categorías

Mes,cómo ser feliz + como ser feliz: (Ecuador),paz interior: (Ecuador)
2011-01,0,19
2011-02,100,0
2011-03,54,0
2011-04,50,18
2011-05,44,0
2011-06,64,0
2011-07,66,0
2011-08,34,0
2011-09,47,14
2011-10,22,8
2011-11,0,26
2011-12,41,0
2012-01,38,0
2012-02,37,23
2012-03,15,0
2012-04,8,0
2012-05,30,31
2012-06,17,0
2012-07,56,11
2012-08,31,9
2012-09,19,19
2012-10,32,17
2012-11,46,0
2012-12,33,15
2013-01,37,7
2013-02,46,19
2013-03,34,0
2013-04,47,9
2013-05,54,13
2013-06,43,13
2013-07,28,0
2013-08,33,21
2013-09,33,15
2013-10,25,14
2013-11,40,17
2013-12,26,16
2014-01,35,26
2014-02,42,15
2014-03,21,10
2014-04,25,17
2014-05,31,15
2014-06,30,0
2014-07,33,19
2014-08,17,24
2014-09,30,15
2014-10,41,22
2014-11,21,16
2014-12,36,13
2015-01,39,16
2015-02,43,15
2015-03,38,0
2015-04,31,0
2015-05,40,16
2015-06,39,26
2015-07,21,6
2015-08,24,13
2015-09,42,15
2015-10,26,13
2015-11,37,24
2015-12,38,14
2016-01,35,7
2016-02,44,17
2016-03,40,14
2016-04,37,18
2016-05,31,15
2016-06,42,22
2016-07,25,13
2016-08,24,16
2016-09,25,10
2016-10,24,9
2016-11,28,8
2016-12,23,17
2017-01,15,18
2017-02,25,21
2017-03,23,14
2017-04,25,27
2017-05,35,23
2017-06,35,21
2017-07,24,20
2017-08,32,9
2017-09,25,19
2017-10,23,20
2017-11,30,23
2017-12,18,31
2018-01,21,29
2018-02,44,24
2018-03,33,35
2018-04,26,12
2018-05,18,36
2018-06,19,21
2018-07,23,22
2018-08,26,40
2018-09,15,27
2018-10,26,38
2018-11,15,29
2018-12,20,22
2019-01,26,26
2019-02,23,33
2019-03,32,31
2019-04,24,17
2019-05,28,8
2019-06,20,17
2019-07,22,35
2019-08,24,37
2019-09,28,18
2019-10,25,21
2019-11,34,37
2019-12,16,8
2020-01,34,7
2020-02,31,19
2020-03,28,19
2020-04,21,32
2020-05,26,18
2020-06,25,16
2020-07,24,16
2020-08,32,18
2020-09,27,21
2020-10,32,23
2020-11,27,13
2020-12,22,26
2021-01,32,14
2021-02,14,23
2021-03,22,12
2021-04,22,8
2021-05,28,14
2021-06,21,16
2021-07,25,16
2021-08,24,12
2021-09,25,0
2021-10,31,17
2021-11,39,17
2021-12,21,13
