Category: All categories

Month,tristeza: (Ecuador)
2011-01,42
2011-02,43
2011-03,46
2011-04,36
2011-05,53
2011-06,43
2011-07,51
2011-08,55
2011-09,63
2011-10,62
2011-11,56
2011-12,68
2012-01,64
2012-02,53
2012-03,66
2012-04,51
2012-05,57
2012-06,60
2012-07,62
2012-08,54
2012-09,54
2012-10,58
2012-11,53
2012-12,58
2013-01,54
2013-02,59
2013-03,48
2013-04,52
2013-05,51
2013-06,56
2013-07,51
2013-08,56
2013-09,53
2013-10,60
2013-11,55
2013-12,54
2014-01,50
2014-02,53
2014-03,48
2014-04,43
2014-05,48
2014-06,51
2014-07,49
2014-08,49
2014-09,54
2014-10,48
2014-11,48
2014-12,53
2015-01,54
2015-02,51
2015-03,55
2015-04,54
2015-05,54
2015-06,57
2015-07,63
2015-08,65
2015-09,57
2015-10,57
2015-11,57
2015-12,68
2016-01,57
2016-02,55
2016-03,61
2016-04,63
2016-05,60
2016-06,61
2016-07,61
2016-08,63
2016-09,62
2016-10,56
2016-11,69
2016-12,54
2017-01,56
2017-02,54
2017-03,58
2017-04,59
2017-05,48
2017-06,51
2017-07,50
2017-08,58
2017-09,58
2017-10,50
2017-11,50
2017-12,54
2018-01,52
2018-02,53
2018-03,48
2018-04,42
2018-05,44
2018-06,41
2018-07,42
2018-08,47
2018-09,47
2018-10,45
2018-11,47
2018-12,45
2019-01,49
2019-02,45
2019-03,45
2019-04,40
2019-05,38
2019-06,40
2019-07,40
2019-08,43
2019-09,41
2019-10,42
2019-11,45
2019-12,47
2020-01,40
2020-02,38
2020-03,33
2020-04,39
2020-05,37
2020-06,100
2020-07,42
2020-08,39
2020-09,43
2020-10,38
2020-11,37
2020-12,40
2021-01,36
2021-02,34
2021-03,36
2021-04,32
2021-05,34
2021-06,33
2021-07,31
2021-08,31
2021-09,34
2021-10,40
2021-11,33
2021-12,32
