Category: All categories

Month,estoy solo: (Ecuador),estoy sola: (Ecuador),me siento solo: (Ecuador),me siento sola: (Ecuador),no tengo amigos: (Ecuador)
2011-01,58,22,7,20,11
2011-02,67,21,23,18,21
2011-03,35,7,26,19,0
2011-04,53,10,40,15,0
2011-05,58,0,28,8,13
2011-06,59,14,27,26,15
2011-07,69,0,53,25,0
2011-08,66,0,75,17,16
2011-09,65,6,44,20,8
2011-10,59,11,46,9,0
2011-11,29,5,46,18,11
2011-12,60,0,62,0,0
2012-01,52,5,44,31,0
2012-02,70,0,29,20,22
2012-03,67,11,49,23,8
2012-04,45,22,48,25,16
2012-05,81,9,44,0,0
2012-06,71,7,38,19,9
2012-07,85,13,34,9,7
2012-08,75,5,11,25,14
2012-09,54,9,31,14,28
2012-10,77,4,47,12,0
2012-11,73,10,31,12,4
2012-12,70,12,31,16,10
2013-01,76,11,26,18,5
2013-02,100,16,23,21,9
2013-03,71,8,36,28,4
2013-04,66,16,23,18,6
2013-05,54,9,13,15,4
2013-06,69,3,25,11,5
2013-07,42,8,22,15,0
2013-08,61,0,35,22,6
2013-09,52,9,26,21,20
2013-10,56,11,19,22,0
2013-11,66,4,27,15,15
2013-12,64,11,41,20,10
2014-01,55,0,20,13,0
2014-02,54,7,23,13,0
2014-03,41,13,25,18,4
2014-04,49,11,30,8,0
2014-05,59,9,16,20,3
2014-06,46,15,19,14,5
2014-07,49,9,23,13,0
2014-08,58,0,23,14,6
2014-09,55,11,18,15,3
2014-10,53,0,22,13,0
2014-11,21,13,16,20,7
2014-12,41,8,21,15,8
2015-01,48,2,22,11,3
2015-02,55,13,19,11,7
2015-03,40,16,20,16,7
2015-04,47,8,12,13,11
2015-05,50,16,15,15,7
2015-06,40,7,18,14,8
2015-07,36,7,19,15,2
2015-08,38,8,21,21,14
2015-09,52,10,10,8,4
2015-10,39,9,19,10,4
2015-11,44,5,17,13,3
2015-12,44,13,14,16,0
2016-01,54,9,12,10,0
2016-02,48,11,16,16,7
2016-03,46,15,8,17,6
2016-04,25,8,10,8,5
2016-05,39,8,21,15,6
2016-06,42,17,18,18,8
2016-07,44,13,12,14,6
2016-08,34,8,11,16,6
2016-09,29,8,14,9,10
2016-10,35,11,10,13,0
2016-11,38,14,16,13,21
2016-12,40,12,12,9,4
2017-01,53,13,12,17,9
2017-02,42,11,19,17,3
2017-03,36,14,16,14,12
2017-04,39,13,10,7,17
2017-05,30,17,18,14,9
2017-06,32,3,20,16,12
2017-07,45,13,8,14,8
2017-08,41,17,9,18,0
2017-09,26,13,5,26,10
2017-10,40,10,13,29,9
2017-11,33,11,26,10,9
2017-12,38,8,16,9,3
2018-01,39,16,19,13,5
2018-02,52,9,13,16,2
2018-03,49,10,21,12,6
2018-04,29,14,24,15,6
2018-05,32,11,17,6,4
2018-06,31,10,13,15,4
2018-07,35,14,21,16,9
2018-08,38,13,22,17,7
2018-09,31,21,15,17,5
2018-10,33,11,17,13,5
2018-11,27,13,12,4,5
2018-12,33,13,19,17,6
2019-01,47,7,19,10,9
2019-02,47,0,12,20,0
2019-03,29,7,18,19,7
2019-04,33,10,10,15,2
2019-05,24,14,17,9,4
2019-06,27,9,14,14,10
2019-07,48,0,15,10,0
2019-08,33,8,8,18,17
2019-09,30,5,9,13,0
2019-10,28,13,15,13,5
2019-11,33,4,9,4,4
2019-12,35,10,20,6,7
2020-01,35,9,13,15,2
2020-02,36,10,18,9,5
2020-03,39,14,15,10,5
2020-04,37,9,8,4,5
2020-05,37,12,15,8,9
2020-06,29,6,16,13,0
2020-07,24,6,10,12,7
2020-08,29,4,12,10,6
2020-09,24,10,9,11,5
2020-10,30,9,14,8,10
2020-11,35,10,11,10,8
2020-12,33,9,8,11,8
2021-01,35,5,19,8,4
2021-02,48,7,13,11,6
2021-03,34,7,11,15,4
2021-04,53,17,11,8,4
2021-05,44,8,8,7,6
2021-06,39,8,8,8,6
2021-07,37,10,12,10,6
2021-08,40,5,17,6,3
2021-09,49,13,15,8,7
2021-10,43,9,18,6,6
2021-11,43,8,17,6,5
2021-12,41,9,9,10,3
