Category: All categories

Month,no tengo pareja: (Ecuador),no tengo novio + no tengo novia: (Ecuador),no tengo a nadie: (Ecuador)
2011-01,0,42,0
2011-02,0,30,0
2011-03,0,0,0
2011-04,0,58,0
2011-05,0,34,0
2011-06,15,45,30
2011-07,15,44,0
2011-08,0,0,0
2011-09,0,22,0
2011-10,0,29,16
2011-11,0,27,13
2011-12,0,62,0
2012-01,19,68,0
2012-02,0,46,0
2012-03,21,63,38
2012-04,19,78,0
2012-05,0,77,45
2012-06,20,63,0
2012-07,0,52,0
2012-08,0,70,0
2012-09,35,99,0
2012-10,0,72,10
2012-11,24,26,9
2012-12,20,77,0
2013-01,18,56,0
2013-02,0,91,0
2013-03,11,75,30
2013-04,13,70,16
2013-05,24,34,14
2013-06,0,42,14
2013-07,16,92,0
2013-08,0,42,0
2013-09,0,100,16
2013-10,9,63,8
2013-11,0,90,11
2013-12,0,76,0
2014-01,11,97,14
2014-02,11,84,12
2014-03,0,96,14
2014-04,12,92,8
2014-05,7,33,7
2014-06,0,66,0
2014-07,10,73,12
2014-08,0,80,0
2014-09,8,82,0
2014-10,10,76,8
2014-11,0,66,0
2014-12,23,73,10
2015-01,20,82,18
2015-02,9,68,11
2015-03,20,74,12
2015-04,0,76,20
2015-05,0,70,6
2015-06,15,72,0
2015-07,12,57,0
2015-08,0,55,0
2015-09,22,67,0
2015-10,10,61,7
2015-11,25,53,8
2015-12,0,68,15
2016-01,11,71,6
2016-02,0,63,8
2016-03,5,28,23
2016-04,0,44,20
2016-05,0,51,6
2016-06,0,27,14
2016-07,13,31,7
2016-08,13,53,13
2016-09,0,32,10
2016-10,0,50,0
2016-11,0,38,12
2016-12,0,52,12
2017-01,10,48,18
2017-02,0,32,8
2017-03,0,53,10
2017-04,8,52,15
2017-05,10,33,0
2017-06,0,46,0
2017-07,0,22,0
2017-08,10,34,9
2017-09,7,41,0
2017-10,13,28,8
2017-11,0,34,10
2017-12,9,33,8
2018-01,8,34,10
2018-02,15,61,8
2018-03,0,39,16
2018-04,6,49,0
2018-05,11,42,11
2018-06,14,39,6
2018-07,0,40,7
2018-08,6,43,8
2018-09,10,83,11
2018-10,0,61,19
2018-11,10,56,14
2018-12,12,51,0
2019-01,7,28,0
2019-02,0,55,9
2019-03,11,45,0
2019-04,17,43,6
2019-05,0,38,10
2019-06,15,39,0
2019-07,0,14,11
2019-08,0,49,6
2019-09,10,47,0
2019-10,25,31,8
2019-11,11,48,9
2019-12,0,49,10
2020-01,5,32,31
2020-02,16,39,0
2020-03,21,35,15
2020-04,13,22,18
2020-05,14,34,9
2020-06,7,18,12
2020-07,0,24,6
2020-08,10,33,8
2020-09,7,0,4
2020-10,11,29,8
2020-11,13,23,15
2020-12,7,33,11
2021-01,12,11,4
2021-02,18,6,20
2021-03,13,23,8
2021-04,13,16,12
2021-05,14,17,29
2021-06,16,34,10
2021-07,14,28,12
2021-08,18,29,20
2021-09,13,25,13
2021-10,21,26,20
2021-11,20,34,14
2021-12,13,23,28
