Category: All categories

Month,estoy cansado: (Ecuador),estoy cansada: (Ecuador),cansancio: (Ecuador),fatiga: (Ecuador)
2011-01,0,0,33,22
2011-02,10,0,34,57
2011-03,23,0,51,24
2011-04,21,0,11,42
2011-05,9,0,32,32
2011-06,10,0,31,39
2011-07,8,0,65,38
2011-08,16,7,65,31
2011-09,44,12,32,47
2011-10,19,0,55,56
2011-11,22,0,64,45
2011-12,0,0,44,26
2012-01,17,0,52,31
2012-02,12,10,24,32
2012-03,13,0,38,39
2012-04,12,0,32,28
2012-05,12,0,64,42
2012-06,15,12,51,48
2012-07,16,0,45,35
2012-08,26,9,44,28
2012-09,7,12,51,38
2012-10,16,0,44,35
2012-11,0,8,35,23
2012-12,5,9,50,39
2013-01,12,13,59,52
2013-02,7,6,45,43
2013-03,4,6,64,24
2013-04,12,0,58,47
2013-05,4,5,56,47
2013-06,0,9,37,38
2013-07,42,7,34,40
2013-08,31,0,53,40
2013-09,7,0,46,52
2013-10,10,4,40,43
2013-11,18,7,50,65
2013-12,0,4,44,41
2014-01,9,8,56,21
2014-02,17,0,33,37
2014-03,13,3,40,39
2014-04,11,5,56,38
2014-05,11,10,47,61
2014-06,6,4,55,29
2014-07,16,0,43,36
2014-08,16,11,51,23
2014-09,7,7,49,46
2014-10,10,10,47,54
2014-11,0,4,54,46
2014-12,12,9,58,37
2015-01,0,4,53,43
2015-02,7,12,56,36
2015-03,12,5,40,29
2015-04,13,4,66,46
2015-05,11,12,59,39
2015-06,11,12,63,40
2015-07,6,3,47,38
2015-08,8,9,45,37
2015-09,12,8,71,33
2015-10,8,7,58,29
2015-11,10,9,55,33
2015-12,7,7,55,17
2016-01,10,13,46,47
2016-02,7,4,50,26
2016-03,5,6,39,36
2016-04,0,8,45,43
2016-05,8,4,56,41
2016-06,0,10,58,59
2016-07,10,11,52,44
2016-08,2,4,53,29
2016-09,9,5,45,35
2016-10,7,12,50,41
2016-11,4,8,61,47
2016-12,7,4,54,31
2017-01,6,10,60,48
2017-02,7,5,44,40
2017-03,7,11,50,27
2017-04,0,9,58,25
2017-05,7,10,55,43
2017-06,0,6,57,52
2017-07,14,12,54,37
2017-08,6,10,54,47
2017-09,6,11,41,37
2017-10,8,9,40,47
2017-11,10,19,45,64
2017-12,5,6,59,37
2018-01,3,9,48,42
2018-02,10,11,47,33
2018-03,13,12,47,40
2018-04,9,17,68,34
2018-05,13,13,47,43
2018-06,8,11,51,62
2018-07,11,10,70,44
2018-08,10,3,59,41
2018-09,8,10,68,40
2018-10,11,12,63,48
2018-11,13,6,63,54
2018-12,12,14,68,49
2019-01,13,14,74,59
2019-02,15,13,69,53
2019-03,17,12,68,31
2019-04,10,7,78,51
2019-05,0,11,75,56
2019-06,11,8,64,52
2019-07,14,9,67,50
2019-08,9,9,62,50
2019-09,14,17,69,38
2019-10,8,4,49,39
2019-11,12,12,75,68
2019-12,5,10,83,32
2020-01,10,20,76,60
2020-02,9,16,72,61
2020-03,12,2,60,67
2020-04,8,0,78,69
2020-05,8,7,81,58
2020-06,11,4,68,61
2020-07,8,5,78,59
2020-08,7,14,74,66
2020-09,8,5,59,59
2020-10,10,7,83,70
2020-11,14,4,73,60
2020-12,13,6,79,68
2021-01,14,9,95,73
2021-02,7,7,78,74
2021-03,9,7,82,68
2021-04,6,6,100,72
2021-05,6,6,74,74
2021-06,11,4,76,84
2021-07,5,11,76,80
2021-08,2,6,73,79
2021-09,10,9,69,69
2021-10,16,13,80,67
2021-11,9,9,71,71
2021-12,9,9,92,83
