Categoría: Todas las categorías

Mes,ayuda psicologica: (Ecuador),ayuda psicológica: (Ecuador),psicologo: (Ecuador),psicólogo: (Ecuador),sicologo: (Ecuador)
2011-01,14,0,64,10,20
2011-02,10,0,48,0,0
2011-03,0,0,49,0,12
2011-04,7,0,61,13,5
2011-05,4,0,55,6,0
2011-06,4,0,57,10,0
2011-07,0,6,55,12,8
2011-08,0,0,53,0,0
2011-09,16,0,93,9,13
2011-10,12,0,71,11,0
2011-11,5,0,49,0,15
2011-12,16,0,48,8,0
2012-01,12,0,63,0,10
2012-02,5,0,65,4,5
2012-03,6,0,77,0,7
2012-04,0,0,76,8,7
2012-05,0,9,68,0,8
2012-06,8,0,63,0,11
2012-07,4,0,58,7,12
2012-08,0,0,59,4,5
2012-09,0,0,52,7,7
2012-10,7,0,55,7,6
2012-11,0,0,57,10,5
2012-12,0,0,36,5,16
2013-01,4,5,68,6,9
2013-02,4,5,53,0,9
2013-03,4,0,63,5,3
2013-04,7,0,72,4,7
2013-05,0,0,69,5,9
2013-06,5,0,63,4,4
2013-07,3,0,63,3,3
2013-08,6,0,65,0,5
2013-09,0,3,57,8,4
2013-10,7,0,68,4,12
2013-11,3,0,91,4,5
2013-12,3,4,60,3,7
2014-01,3,0,70,5,5
2014-02,3,0,70,6,14
2014-03,5,0,56,5,7
2014-04,6,0,62,6,7
2014-05,3,0,79,6,7
2014-06,3,0,59,7,3
2014-07,10,0,87,9,6
2014-08,9,0,71,0,0
2014-09,7,0,65,8,11
2014-10,5,0,62,2,4
2014-11,3,0,64,0,7
2014-12,4,6,53,0,9
2015-01,0,0,70,5,9
2015-02,2,0,66,5,9
2015-03,5,0,57,4,12
2015-04,0,0,55,8,10
2015-05,3,0,72,9,4
2015-06,4,2,76,7,3
2015-07,3,0,75,9,7
2015-08,3,7,78,12,8
2015-09,2,0,78,0,6
2015-10,1,0,76,5,4
2015-11,4,0,73,13,9
2015-12,5,2,58,6,7
2016-01,0,0,64,6,4
2016-02,3,0,62,4,7
2016-03,7,0,75,6,6
2016-04,3,0,67,3,5
2016-05,3,0,77,8,6
2016-06,5,0,75,6,4
2016-07,10,0,64,13,7
2016-08,4,0,75,9,7
2016-09,0,0,68,5,6
2016-10,0,0,74,7,12
2016-11,0,2,75,3,2
2016-12,2,0,68,11,6
2017-01,2,0,62,7,10
2017-02,4,2,59,10,4
2017-03,3,0,65,9,7
2017-04,7,2,64,8,13
2017-05,5,0,87,10,8
2017-06,4,0,71,7,5
2017-07,2,0,67,14,5
2017-08,2,0,84,11,8
2017-09,4,2,70,10,5
2017-10,5,0,79,7,7
2017-11,0,2,88,11,6
2017-12,0,5,66,6,10
2018-01,2,0,78,18,4
2018-02,2,0,78,7,7
2018-03,3,2,73,8,4
2018-04,0,7,76,10,5
2018-05,4,0,90,15,10
2018-06,2,0,82,7,7
2018-07,2,0,82,12,8
2018-08,5,0,100,11,8
2018-09,5,2,70,9,9
2018-10,5,0,83,18,11
2018-11,3,0,97,22,5
2018-12,5,0,74,16,9
2019-01,3,4,88,21,7
2019-02,2,6,86,26,6
2019-03,8,0,75,18,4
2019-04,0,0,87,17,5
2019-05,4,2,96,28,8
2019-06,2,2,84,25,8
2019-07,0,2,86,30,4
2019-08,4,5,94,38,8
2019-09,5,0,76,20,9
2019-10,3,0,87,25,4
2019-11,5,2,95,29,8
2019-12,0,0,78,15,7
2020-01,2,0,84,32,7
2020-02,2,0,65,28,5
2020-03,4,1,63,23,7
2020-04,5,0,61,24,2
2020-05,6,2,80,28,4
2020-06,4,2,67,29,5
2020-07,4,3,80,36,8
2020-08,3,8,93,47,4
2020-09,5,1,64,33,2
2020-10,3,4,68,32,7
2020-11,0,5,65,37,5
2020-12,0,0,67,39,6
2021-01,3,3,72,46,7
2021-02,2,5,69,35,2
2021-03,2,5,68,40,5
2021-04,3,4,69,41,4
2021-05,4,4,77,44,7
2021-06,2,0,71,42,5
2021-07,2,3,74,43,6
2021-08,3,3,81,47,5
2021-09,3,2,65,39,9
2021-10,3,7,70,41,6
2021-11,3,6,66,37,6
2021-12,4,4,72,45,4
