Categoría: Todas las categorías

Mes,psicoterapia: (Ecuador),terapia psicologica + terapia psicológica: (Ecuador),atención psicológica + atencion psicologica: (Ecuador)
2011-01,68,15,12
2011-02,100,23,21
2011-03,42,16,0
2011-04,21,0,0
2011-05,93,11,0
2011-06,97,0,36
2011-07,25,0,0
2011-08,50,16,0
2011-09,73,11,9
2011-10,67,0,17
2011-11,58,0,0
2011-12,97,12,0
2012-01,78,27,0
2012-02,29,16,0
2012-03,33,12,0
2012-04,39,11,8
2012-05,39,18,7
2012-06,64,19,8
2012-07,37,0,18
2012-08,61,8,7
2012-09,66,0,0
2012-10,57,7,13
2012-11,71,8,0
2012-12,35,17,0
2013-01,60,0,0
2013-02,33,8,0
2013-03,30,6,11
2013-04,45,0,0
2013-05,66,10,0
2013-06,53,0,14
2013-07,50,0,10
2013-08,49,0,10
2013-09,59,8,7
2013-10,73,7,7
2013-11,43,9,7
2013-12,54,11,0
2014-01,49,8,4
2014-02,38,0,21
2014-03,26,0,11
2014-04,32,7,0
2014-05,43,13,7
2014-06,44,0,0
2014-07,34,18,19
2014-08,25,4,0
2014-09,36,0,0
2014-10,66,4,0
2014-11,70,10,0
2014-12,34,6,0
2015-01,60,12,6
2015-02,32,0,5
2015-03,43,16,6
2015-04,47,11,13
2015-05,54,18,7
2015-06,44,12,12
2015-07,30,7,8
2015-08,52,6,8
2015-09,36,17,0
2015-10,45,0,0
2015-11,47,9,0
2015-12,47,0,0
2016-01,51,15,6
2016-02,47,10,9
2016-03,30,12,9
2016-04,45,19,0
2016-05,65,11,17
2016-06,74,13,18
2016-07,35,5,0
2016-08,18,10,0
2016-09,33,7,7
2016-10,62,13,8
2016-11,51,5,0
2016-12,47,9,7
2017-01,46,14,3
2017-02,46,8,7
2017-03,41,7,0
2017-04,42,8,9
2017-05,49,6,18
2017-06,49,5,0
2017-07,19,15,8
2017-08,31,14,0
2017-09,29,8,4
2017-10,54,12,0
2017-11,50,5,0
2017-12,24,6,0
2018-01,34,15,5
2018-02,47,0,12
2018-03,26,4,0
2018-04,48,9,8
2018-05,54,7,3
2018-06,41,6,5
2018-07,62,15,5
2018-08,35,13,19
2018-09,44,0,0
2018-10,61,20,0
2018-11,53,10,12
2018-12,54,7,4
2019-01,53,30,7
2019-02,33,25,5
2019-03,35,22,0
2019-04,62,13,0
2019-05,46,0,6
2019-06,52,0,9
2019-07,46,0,11
2019-08,26,0,4
2019-09,45,10,7
2019-10,56,10,0
2019-11,50,6,5
2019-12,36,18,0
2020-01,50,14,0
2020-02,46,6,10
2020-03,31,10,0
2020-04,32,7,0
2020-05,50,14,10
2020-06,55,8,14
2020-07,51,12,6
2020-08,36,11,12
2020-09,36,5,14
2020-10,44,8,7
2020-11,34,14,4
2020-12,51,11,5
2021-01,47,0,9
2021-02,43,10,8
2021-03,34,7,6
2021-04,37,12,4
2021-05,53,13,9
2021-06,44,7,7
2021-07,47,15,8
2021-08,46,15,5
2021-09,24,14,7
2021-10,45,12,6
2021-11,50,18,0
2021-12,34,13,4
