Categoría: Todas las categorías

Mes,psiquiatra: (Ecuador),siquiatra: (Ecuador),prevencion del suicidio: (Ecuador)
2011-01,26,0,22
2011-02,45,42,0
2011-03,0,26,20
2011-04,100,0,0
2011-05,0,0,0
2011-06,24,0,0
2011-07,35,0,0
2011-08,13,0,0
2011-09,25,8,0
2011-10,37,11,0
2011-11,38,0,0
2011-12,18,0,0
2012-01,32,0,0
2012-02,0,13,0
2012-03,12,0,0
2012-04,39,0,0
2012-05,26,0,0
2012-06,31,0,0
2012-07,39,0,0
2012-08,13,0,0
2012-09,27,0,0
2012-10,22,11,10
2012-11,32,7,0
2012-12,11,7,0
2013-01,16,0,0
2013-02,39,9,0
2013-03,26,13,6
2013-04,33,0,0
2013-05,36,0,0
2013-06,15,0,0
2013-07,49,0,0
2013-08,19,9,6
2013-09,30,0,0
2013-10,47,14,5
2013-11,25,0,0
2013-12,16,8,0
2014-01,38,0,0
2014-02,42,0,4
2014-03,30,9,6
2014-04,38,0,0
2014-05,37,0,0
2014-06,43,7,0
2014-07,18,0,0
2014-08,41,0,4
2014-09,27,10,10
2014-10,29,0,0
2014-11,22,0,0
2014-12,32,0,0
2015-01,35,6,0
2015-02,29,12,0
2015-03,45,0,0
2015-04,42,5,0
2015-05,27,0,4
2015-06,34,8,0
2015-07,39,5,0
2015-08,30,12,0
2015-09,30,0,5
2015-10,37,0,7
2015-11,34,12,8
2015-12,25,8,0
2016-01,37,4,5
2016-02,25,0,0
2016-03,36,0,0
2016-04,50,0,0
2016-05,38,0,0
2016-06,33,0,5
2016-07,49,0,5
2016-08,63,0,0
2016-09,33,0,10
2016-10,36,0,6
2016-11,31,0,0
2016-12,22,5,0
2017-01,39,5,0
2017-02,48,9,0
2017-03,40,5,8
2017-04,27,0,0
2017-05,34,5,0
2017-06,34,6,0
2017-07,55,16,4
2017-08,60,4,4
2017-09,40,9,5
2017-10,53,8,0
2017-11,65,5,0
2017-12,16,0,0
2018-01,57,5,0
2018-02,37,4,0
2018-03,27,0,0
2018-04,41,0,0
2018-05,56,4,0
2018-06,56,11,4
2018-07,53,0,0
2018-08,72,5,3
2018-09,67,6,19
2018-10,54,0,5
2018-11,66,4,0
2018-12,58,0,23
2019-01,82,8,0
2019-02,60,5,8
2019-03,72,7,0
2019-04,65,4,0
2019-05,60,5,7
2019-06,68,0,0
2019-07,62,0,0
2019-08,84,4,6
2019-09,67,9,31
2019-10,67,14,0
2019-11,65,8,0
2019-12,73,6,0
2020-01,81,0,0
2020-02,63,10,0
2020-03,61,9,7
2020-04,68,0,3
2020-05,74,6,0
2020-06,72,5,0
2020-07,74,9,0
2020-08,69,8,0
2020-09,52,0,20
2020-10,72,3,3
2020-11,78,5,2
2020-12,68,6,13
2021-01,77,8,3
2021-02,71,7,9
2021-03,91,7,3
2021-04,76,0,0
2021-05,74,0,5
2021-06,73,0,3
2021-07,73,6,4
2021-08,88,10,3
2021-09,91,0,39
2021-10,67,0,0
2021-11,65,3,9
2021-12,73,0,6
