Categoría: Todas las categorías

Mes,intento de suicidio: (Ecuador),como suicidarme: (Ecuador),como suicidarse: (Ecuador),como matarme: (Ecuador),como matarse: (Ecuador)
2011-01,68,0,0,0,74
2011-02,0,0,0,0,39
2011-03,44,0,60,0,54
2011-04,0,0,0,0,0
2011-05,0,0,0,56,0
2011-06,90,0,52,45,68
2011-07,0,51,0,0,0
2011-08,48,0,60,0,38
2011-09,0,78,28,0,0
2011-10,0,0,77,0,100
2011-11,0,0,34,0,39
2011-12,0,34,0,30,0
2012-01,0,41,27,0,0
2012-02,0,0,0,37,0
2012-03,0,0,26,0,68
2012-04,0,45,0,0,0
2012-05,0,74,82,0,66
2012-06,98,26,0,0,28
2012-07,30,0,0,70,28
2012-08,55,0,0,0,0
2012-09,0,25,0,0,0
2012-10,0,22,31,0,0
2012-11,0,0,85,0,0
2012-12,0,0,59,50,58
2013-01,26,19,0,0,0
2013-02,0,0,22,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,40
2013-05,59,25,16,37,0
2013-06,24,0,55,0,0
2013-07,31,0,32,34,0
2013-08,0,26,15,0,0
2013-09,0,0,0,26,0
2013-10,0,0,39,0,0
2013-11,0,18,0,67,0
2013-12,0,36,0,0,53
2014-01,0,0,0,21,17
2014-02,29,0,52,0,0
2014-03,0,0,0,0,48
2014-04,0,0,0,0,23
2014-05,23,27,0,0,0
2014-06,47,0,26,0,0
2014-07,0,14,0,0,48
2014-08,0,0,41,14,33
2014-09,0,0,24,37,0
2014-10,0,0,0,0,12
2014-11,32,22,0,0,0
2014-12,0,0,49,0,0
2015-01,0,0,44,22,13
2015-02,0,0,35,23,70
2015-03,19,0,62,0,0
2015-04,21,12,15,13,0
2015-05,13,0,37,0,0
2015-06,28,19,36,0,39
2015-07,0,16,38,27,0
2015-08,0,0,24,70,0
2015-09,0,0,28,13,15
2015-10,0,14,42,16,0
2015-11,0,0,26,16,32
2015-12,35,0,23,0,0
2016-01,35,12,27,17,24
2016-02,0,0,74,0,17
2016-03,0,14,0,35,16
2016-04,0,0,29,18,21
2016-05,23,0,21,23,26
2016-06,0,13,27,29,14
2016-07,0,0,20,0,11
2016-08,37,0,17,0,19
2016-09,34,22,32,0,0
2016-10,32,0,34,27,0
2016-11,0,23,0,0,14
2016-12,14,15,92,24,0
2017-01,11,11,20,0,0
2017-02,0,27,30,26,12
2017-03,0,25,47,0,0
2017-04,18,35,39,21,27
2017-05,15,0,30,21,0
2017-06,38,0,27,15,25
2017-07,0,12,38,0,41
2017-08,14,0,25,0,0
2017-09,0,0,27,17,33
2017-10,0,28,27,27,0
2017-11,0,0,16,0,0
2017-12,34,17,30,0,0
2018-01,0,23,59,0,0
2018-02,14,0,29,0,21
2018-03,26,0,19,19,24
2018-04,0,0,35,23,50
2018-05,17,0,38,11,17
2018-06,32,13,33,0,0
2018-07,0,25,45,0,0
2018-08,47,0,28,0,35
2018-09,0,0,48,0,23
2018-10,0,43,92,0,0
2018-11,0,0,41,0,24
2018-12,13,46,46,14,26
2019-01,42,0,60,14,19
2019-02,34,0,37,18,0
2019-03,14,12,34,54,0
2019-04,0,63,26,21,16
2019-05,19,12,27,0,48
2019-06,15,10,37,12,22
2019-07,0,14,79,15,14
2019-08,0,29,64,37,0
2019-09,0,20,25,0,24
2019-10,28,16,61,0,0
2019-11,0,23,31,0,12
2019-12,0,49,48,11,32
2020-01,0,36,83,0,0
2020-02,19,42,46,21,15
2020-03,0,14,23,0,12
2020-04,11,23,34,0,0
2020-05,0,19,23,7,21
2020-06,0,9,45,21,16
2020-07,0,0,48,16,15
2020-08,21,0,43,0,0
2020-09,7,13,36,15,19
2020-10,7,12,20,0,18
2020-11,16,26,60,9,0
2020-12,17,12,74,0,19
2021-01,17,18,55,21,31
2021-02,12,23,19,26,12
2021-03,0,11,51,14,0
2021-04,17,0,27,22,0
2021-05,12,21,37,0,0
2021-06,8,10,56,0,47
2021-07,15,26,39,17,37
2021-08,12,0,50,11,18
2021-09,26,23,55,15,33
2021-10,0,18,55,13,21
2021-11,0,22,29,20,0
2021-12,15,24,36,15,14
