Categoría: Todas las categorías

Mes,matarme: (Ecuador),matarse: (Ecuador),sobredosis: (Ecuador),suicidio asistido: (Ecuador),suicidarse sin dolor: (Ecuador)
2011-01,19,23,18,11,0
2011-02,32,0,36,0,8
2011-03,13,0,31,13,0
2011-04,11,10,38,0,7
2011-05,22,0,31,0,12
2011-06,18,13,13,11,0
2011-07,7,13,35,0,0
2011-08,6,5,26,0,0
2011-09,6,6,36,0,0
2011-10,16,5,36,0,0
2011-11,23,0,32,0,0
2011-12,14,0,33,0,5
2012-01,22,0,12,0,8
2012-02,20,18,27,0,0
2012-03,12,0,19,0,0
2012-04,12,0,28,0,14
2012-05,20,0,29,0,0
2012-06,0,0,23,8,0
2012-07,0,0,34,0,0
2012-08,24,0,31,0,0
2012-09,12,15,32,0,0
2012-10,15,4,26,0,0
2012-11,24,0,29,0,5
2012-12,11,9,30,7,12
2013-01,13,7,36,0,3
2013-02,13,3,41,0,0
2013-03,23,13,33,0,0
2013-04,11,3,32,0,8
2013-05,16,4,35,0,3
2013-06,10,0,35,0,0
2013-07,11,4,42,0,0
2013-08,10,4,43,4,0
2013-09,12,4,27,0,10
2013-10,6,4,33,0,0
2013-11,23,0,32,0,0
2013-12,18,10,29,0,0
2014-01,14,4,30,0,0
2014-02,16,4,36,0,5
2014-03,13,4,44,0,2
2014-04,19,3,34,3,0
2014-05,10,10,23,0,0
2014-06,8,4,21,3,0
2014-07,12,5,20,0,7
2014-08,7,4,26,10,0
2014-09,11,0,34,0,8
2014-10,9,3,33,4,0
2014-11,15,0,27,5,4
2014-12,15,4,29,0,6
2015-01,20,7,27,0,0
2015-02,10,0,24,4,0
2015-03,13,4,25,0,2
2015-04,9,5,35,14,0
2015-05,13,7,25,2,3
2015-06,11,8,34,0,5
2015-07,7,4,34,3,2
2015-08,41,3,19,0,2
2015-09,10,6,28,0,0
2015-10,11,8,28,2,4
2015-11,23,5,27,0,2
2015-12,16,9,29,0,0
2016-01,31,13,23,0,0
2016-02,12,8,24,5,0
2016-03,18,10,26,2,0
2016-04,14,8,33,0,0
2016-05,16,10,28,0,4
2016-06,5,7,22,0,2
2016-07,6,7,20,0,0
2016-08,7,8,15,0,4
2016-09,14,2,22,0,5
2016-10,20,6,21,0,2
2016-11,13,9,22,0,0
2016-12,23,7,22,0,0
2017-01,20,8,28,0,0
2017-02,14,6,23,3,3
2017-03,11,4,23,4,0
2017-04,22,7,21,2,0
2017-05,11,5,23,0,2
2017-06,12,4,25,3,0
2017-07,18,12,53,0,0
2017-08,8,4,63,0,2
2017-09,10,5,41,0,0
2017-10,11,7,51,0,0
2017-11,12,6,47,0,0
2017-12,12,7,57,0,0
2018-01,9,3,49,2,0
2018-02,9,7,74,2,2
2018-03,11,9,82,2,0
2018-04,12,5,68,2,0
2018-05,11,8,52,4,0
2018-06,10,10,58,8,2
2018-07,12,0,100,2,0
2018-08,9,9,64,0,0
2018-09,10,3,50,0,3
2018-10,10,0,39,0,0
2018-11,15,2,44,0,4
2018-12,7,8,44,3,0
2019-01,10,8,36,0,0
2019-02,10,7,33,4,2
2019-03,8,2,34,3,3
2019-04,11,3,39,0,0
2019-05,9,4,30,0,3
2019-06,10,7,37,0,0
2019-07,7,7,38,0,0
2019-08,9,0,28,2,0
2019-09,5,4,39,0,5
2019-10,13,5,35,0,4
2019-11,14,3,31,0,0
2019-12,6,5,31,0,2
2020-01,14,3,29,0,3
2020-02,4,5,40,0,0
2020-03,10,0,30,2,0
2020-04,8,5,37,2,0
2020-05,6,8,34,2,2
2020-06,6,6,25,1,2
2020-07,7,6,35,2,3
2020-08,12,4,37,4,2
2020-09,6,4,25,2,1
2020-10,4,4,34,0,0
2020-11,10,3,33,1,4
2020-12,10,7,30,0,6
2021-01,17,5,27,0,3
2021-02,11,5,33,0,1
2021-03,22,5,31,6,0
2021-04,13,7,32,1,2
2021-05,8,0,24,0,3
2021-06,8,7,27,0,0
2021-07,6,5,29,2,0
2021-08,11,6,32,2,3
2021-09,7,5,27,0,0
2021-10,6,0,26,0,2
2021-11,9,7,30,4,3
2021-12,16,3,25,5,0
