Categoría: Todas las categorías

Mes,formas de suicidio: (Ecuador),formas de suicidarse: (Ecuador),como suicidarme sin dolor: (Ecuador),como suicidarse sin dolor: (Ecuador),nota de suicidio: (Ecuador)
2011-01,21,0,0,12,12
2011-02,0,0,24,16,0
2011-03,0,0,0,0,17
2011-04,37,0,0,0,0
2011-05,0,0,0,0,39
2011-06,0,0,0,0,15
2011-07,0,0,0,0,16
2011-08,16,0,0,16,21
2011-09,17,0,17,0,50
2011-10,0,0,11,17,39
2011-11,0,0,9,0,69
2011-12,15,0,0,0,41
2012-01,0,0,0,0,44
2012-02,0,0,10,0,55
2012-03,0,0,12,0,69
2012-04,0,0,0,0,44
2012-05,9,10,0,0,56
2012-06,19,8,0,0,43
2012-07,10,9,0,0,62
2012-08,0,0,0,0,55
2012-09,0,0,19,14,91
2012-10,0,0,6,51,90
2012-11,0,0,0,10,65
2012-12,0,0,0,0,48
2013-01,0,0,0,0,92
2013-02,0,0,21,0,71
2013-03,0,0,0,0,67
2013-04,0,0,0,0,72
2013-05,5,0,0,0,62
2013-06,0,13,7,0,77
2013-07,0,0,8,0,57
2013-08,0,22,0,0,100
2013-09,0,11,0,7,66
2013-10,0,0,0,0,75
2013-11,0,0,0,0,99
2013-12,0,8,0,0,74
2014-01,0,0,0,0,85
2014-02,11,6,0,0,74
2014-03,0,0,0,0,75
2014-04,0,0,0,0,57
2014-05,0,0,0,0,69
2014-06,0,12,0,5,68
2014-07,0,7,0,14,49
2014-08,6,0,8,0,53
2014-09,6,0,0,0,56
2014-10,0,0,8,0,29
2014-11,0,0,16,5,69
2014-12,0,0,0,0,53
2015-01,4,6,0,0,64
2015-02,0,8,0,0,24
2015-03,0,0,12,0,52
2015-04,0,0,0,0,36
2015-05,0,5,5,0,36
2015-06,6,0,4,4,39
2015-07,0,0,0,0,39
2015-08,9,0,0,0,44
2015-09,0,0,0,0,55
2015-10,4,5,0,7,29
2015-11,0,6,0,0,33
2015-12,8,0,19,0,20
2016-01,0,0,0,4,18
2016-02,0,0,0,13,20
2016-03,0,0,0,0,26
2016-04,4,0,0,0,14
2016-05,0,4,0,0,7
2016-06,0,0,0,6,16
2016-07,0,6,0,6,12
2016-08,0,0,0,8,13
2016-09,0,0,0,6,18
2016-10,0,0,0,5,14
2016-11,0,5,0,5,12
2016-12,9,0,0,22,0
2017-01,6,0,8,0,11
2017-02,0,0,6,0,6
2017-03,0,10,0,4,0
2017-04,0,0,7,0,7
2017-05,0,0,0,0,10
2017-06,0,0,0,10,12
2017-07,0,12,11,0,13
2017-08,0,0,6,0,5
2017-09,0,0,0,4,9
2017-10,0,0,0,15,9
2017-11,6,0,0,9,8
2017-12,0,0,0,0,9
2018-01,4,0,0,0,15
2018-02,5,0,0,15,0
2018-03,0,6,6,0,4
2018-04,0,0,0,0,0
2018-05,0,0,0,4,8
2018-06,7,0,5,7,7
2018-07,0,0,10,4,0
2018-08,0,0,0,0,8
2018-09,0,0,0,0,4
2018-10,0,0,0,0,11
2018-11,4,0,0,0,0
2018-12,0,0,0,6,0
2019-01,6,6,4,5,6
2019-02,8,0,0,0,0
2019-03,0,0,0,0,0
2019-04,0,4,0,0,0
2019-05,6,0,0,0,4
2019-06,0,11,0,0,0
2019-07,0,5,0,0,0
2019-08,4,0,0,0,0
2019-09,0,0,0,0,0
2019-10,6,4,0,10,0
2019-11,0,0,0,0,0
2019-12,0,0,0,3,11
2020-01,0,5,0,11,5
2020-02,0,0,0,0,0
2020-03,6,0,0,4,0
2020-04,0,0,0,3,3
2020-05,0,6,2,0,0
2020-06,0,6,0,0,0
2020-07,3,0,0,9,0
2020-08,0,3,4,0,0
2020-09,4,2,0,2,0
2020-10,0,0,0,0,4
2020-11,4,0,0,5,3
2020-12,0,4,0,15,0
2021-01,0,6,0,7,4
2021-02,0,4,0,7,0
2021-03,5,0,0,5,0
2021-04,3,4,0,0,7
2021-05,0,0,3,0,0
2021-06,3,0,0,0,0
2021-07,0,0,0,0,0
2021-08,0,3,4,5,0
2021-09,11,0,0,0,5
2021-10,0,3,5,0,0
2021-11,0,0,5,8,0
2021-12,0,5,0,0,0
