Category: All categories

Month,ruptura: (Ecuador),ruptura amorosa: (Ecuador),divorcio: (Ecuador),separación: (Ecuador),separacion: (Ecuador)
2011-01,45,6,85,6,67
2011-02,22,0,62,7,45
2011-03,18,2,61,6,35
2011-04,16,0,52,3,42
2011-05,16,0,71,6,54
2011-06,20,2,63,4,51
2011-07,25,8,100,0,56
2011-08,26,5,60,7,41
2011-09,23,4,63,8,53
2011-10,20,3,56,6,56
2011-11,19,2,79,7,54
2011-12,21,0,53,12,44
2012-01,17,3,60,6,49
2012-02,17,2,54,4,37
2012-03,17,0,49,8,35
2012-04,21,0,58,3,41
2012-05,25,4,59,5,57
2012-06,23,3,56,7,48
2012-07,22,1,68,4,34
2012-08,39,0,56,5,35
2012-09,22,3,56,6,45
2012-10,30,4,52,6,55
2012-11,38,4,59,9,61
2012-12,19,0,41,7,45
2013-01,42,3,54,5,44
2013-02,45,1,55,6,32
2013-03,20,4,58,3,41
2013-04,28,6,52,6,50
2013-05,16,2,54,4,47
2013-06,22,2,56,8,50
2013-07,30,6,56,6,45
2013-08,21,5,47,2,33
2013-09,17,1,60,8,47
2013-10,27,1,58,6,45
2013-11,25,2,49,7,67
2013-12,21,2,55,7,39
2014-01,20,5,60,5,46
2014-02,19,0,57,6,38
2014-03,20,5,59,4,34
2014-04,23,2,47,4,60
2014-05,23,2,58,7,48
2014-06,23,2,60,6,44
2014-07,21,2,56,6,44
2014-08,20,1,55,4,39
2014-09,18,5,56,6,48
2014-10,18,4,47,4,61
2014-11,23,1,52,8,67
2014-12,18,2,44,7,56
2015-01,24,5,59,8,54
2015-02,23,3,58,3,29
2015-03,17,2,49,6,47
2015-04,23,3,57,7,47
2015-05,19,1,50,11,61
2015-06,22,2,53,8,44
2015-07,24,5,55,8,50
2015-08,22,1,57,7,43
2015-09,23,2,52,5,38
2015-10,26,3,47,9,62
2015-11,24,1,49,11,79
2015-12,21,3,46,10,45
2016-01,21,3,54,10,47
2016-02,26,4,58,7,46
2016-03,20,2,53,4,38
2016-04,23,3,49,6,46
2016-05,21,3,50,9,54
2016-06,24,5,57,9,57
2016-07,20,2,51,10,48
2016-08,20,4,56,6,38
2016-09,18,2,73,9,43
2016-10,21,2,57,6,40
2016-11,20,0,55,7,40
2016-12,19,1,42,7,42
2017-01,20,1,61,6,41
2017-02,23,5,48,8,32
2017-03,21,2,52,7,36
2017-04,18,2,46,6,39
2017-05,19,2,62,7,49
2017-06,20,3,55,9,49
2017-07,21,3,51,16,40
2017-08,21,2,49,6,33
2017-09,19,3,49,6,36
2017-10,21,2,51,8,43
2017-11,23,2,51,11,46
2017-12,20,3,52,7,36
2018-01,26,3,53,11,40
2018-02,21,2,50,6,30
2018-03,22,2,54,6,40
2018-04,24,2,52,6,42
2018-05,23,3,52,9,52
2018-06,25,3,48,13,42
2018-07,25,3,53,10,33
2018-08,22,2,55,8,27
2018-09,17,2,53,9,36
2018-10,25,1,52,12,50
2018-11,22,1,56,17,54
2018-12,18,3,42,12,26
2019-01,26,1,70,13,39
2019-02,23,2,62,10,31
2019-03,21,3,63,11,35
2019-04,25,1,51,16,41
2019-05,25,1,62,13,49
2019-06,30,2,68,13,43
2019-07,24,2,77,13,37
2019-08,21,4,66,7,36
2019-09,20,3,59,10,38
2019-10,23,3,60,20,46
2019-11,23,1,54,20,52
2019-12,20,3,56,12,34
2020-01,23,3,59,16,41
2020-02,23,2,58,12,31
2020-03,18,2,40,14,33
2020-04,24,1,35,24,42
2020-05,24,3,47,24,36
2020-06,22,1,46,22,33
2020-07,25,1,56,19,35
2020-08,22,2,59,17,29
2020-09,21,2,51,25,38
2020-10,23,4,55,23,31
2020-11,19,3,52,26,29
2020-12,24,3,46,24,26
2021-01,23,4,54,23,25
2021-02,24,5,46,26,26
2021-03,25,3,58,27,32
2021-04,24,3,56,26,28
2021-05,20,3,58,24,33
2021-06,23,3,51,33,32
2021-07,23,3,63,24,28
2021-08,22,4,60,19,23
2021-09,21,2,59,28,29
2021-10,20,3,52,22,22
2021-11,21,4,54,27,26
2021-12,22,3,53,23,26
