Category: All categories

Month,presión en el trabajo: (Ecuador),burnout: (Ecuador),estrés laboral: (Ecuador)
2011-01,0,76,26
2011-02,0,83,0
2011-03,0,47,0
2011-04,0,82,0
2011-05,0,69,0
2011-06,0,79,0
2011-07,12,69,0
2011-08,0,67,0
2011-09,0,76,0
2011-10,25,71,0
2011-11,0,100,20
2011-12,0,95,0
2012-01,0,87,18
2012-02,13,90,0
2012-03,0,68,0
2012-04,0,78,0
2012-05,0,69,0
2012-06,0,93,17
2012-07,0,68,31
2012-08,23,43,0
2012-09,0,58,0
2012-10,0,59,0
2012-11,20,58,14
2012-12,0,40,0
2013-01,9,39,0
2013-02,15,47,9
2013-03,0,46,10
2013-04,0,55,0
2013-05,0,50,0
2013-06,0,64,8
2013-07,6,58,0
2013-08,0,54,0
2013-09,7,67,10
2013-10,0,64,7
2013-11,12,48,0
2013-12,8,27,17
2014-01,0,39,0
2014-02,0,61,0
2014-03,0,34,0
2014-04,10,46,9
2014-05,0,60,9
2014-06,0,46,0
2014-07,11,55,14
2014-08,9,41,0
2014-09,0,53,0
2014-10,0,38,8
2014-11,14,59,0
2014-12,0,54,10
2015-01,0,39,0
2015-02,12,72,0
2015-03,0,42,0
2015-04,0,26,0
2015-05,6,34,5
2015-06,0,61,8
2015-07,0,53,6
2015-08,0,15,11
2015-09,9,41,10
2015-10,0,53,5
2015-11,0,37,0
2015-12,0,47,0
2016-01,5,56,8
2016-02,0,47,9
2016-03,0,35,10
2016-04,0,29,0
2016-05,5,61,12
2016-06,5,37,14
2016-07,0,33,0
2016-08,0,33,11
2016-09,5,32,9
2016-10,0,41,0
2016-11,18,49,0
2016-12,0,55,13
2017-01,0,59,0
2017-02,0,29,0
2017-03,5,36,10
2017-04,6,47,16
2017-05,12,51,11
2017-06,0,40,9
2017-07,0,35,15
2017-08,0,53,25
2017-09,0,45,8
2017-10,11,46,5
2017-11,0,47,0
2017-12,7,60,19
2018-01,0,36,13
2018-02,0,40,0
2018-03,9,79,4
2018-04,0,26,5
2018-05,0,59,14
2018-06,4,64,7
2018-07,0,72,7
2018-08,5,47,0
2018-09,0,41,18
2018-10,16,39,0
2018-11,10,60,0
2018-12,0,34,0
2019-01,0,46,8
2019-02,0,62,0
2019-03,0,70,5
2019-04,14,38,0
2019-05,0,49,13
2019-06,13,81,0
2019-07,0,64,0
2019-08,0,67,10
2019-09,0,51,8
2019-10,0,45,11
2019-11,5,72,7
2019-12,0,41,6
2020-01,0,52,19
2020-02,0,64,11
2020-03,3,53,7
2020-04,0,56,8
2020-05,14,69,6
2020-06,7,57,19
2020-07,0,69,18
2020-08,13,64,10
2020-09,6,57,10
2020-10,0,66,14
2020-11,5,50,13
2020-12,5,43,5
2021-01,11,69,12
2021-02,7,65,13
2021-03,15,73,11
2021-04,9,71,0
2021-05,8,76,12
2021-06,9,65,10
2021-07,5,82,3
2021-08,24,70,8
2021-09,15,65,16
2021-10,10,39,0
2021-11,4,70,22
2021-12,9,62,13
