Category: All categories

Month,me despidieron: (Ecuador),no tengo trabajo: (Ecuador),donde buscar trabajo: (Ecuador)
2011-01,0,0,0
2011-02,0,55,0
2011-03,65,0,0
2011-04,0,95,0
2011-05,0,0,0
2011-06,0,75,0
2011-07,0,0,0
2011-08,0,0,96
2011-09,0,0,41
2011-10,0,0,0
2011-11,0,69,0
2011-12,62,0,40
2012-01,0,0,28
2012-02,0,37,67
2012-03,0,34,84
2012-04,0,29,68
2012-05,0,0,0
2012-06,0,61,22
2012-07,0,100,36
2012-08,0,0,53
2012-09,53,38,0
2012-10,0,30,0
2012-11,0,0,0
2012-12,41,0,0
2013-01,0,59,24
2013-02,0,0,0
2013-03,0,31,33
2013-04,18,21,16
2013-05,61,16,33
2013-06,0,54,0
2013-07,0,46,0
2013-08,0,54,0
2013-09,0,39,15
2013-10,0,22,14
2013-11,0,0,15
2013-12,0,14,15
2014-01,0,69,47
2014-02,0,18,0
2014-03,25,45,23
2014-04,0,0,0
2014-05,0,0,21
2014-06,0,41,15
2014-07,0,0,0
2014-08,0,0,0
2014-09,0,20,0
2014-10,35,56,68
2014-11,0,70,0
2014-12,0,28,0
2015-01,0,24,15
2015-02,0,0,0
2015-03,0,42,0
2015-04,0,23,29
2015-05,0,50,21
2015-06,0,19,16
2015-07,0,29,0
2015-08,34,64,16
2015-09,0,48,36
2015-10,12,29,13
2015-11,0,16,21
2015-12,22,59,30
2016-01,9,54,25
2016-02,0,41,22
2016-03,10,50,32
2016-04,49,41,37
2016-05,0,27,0
2016-06,0,31,22
2016-07,0,13,13
2016-08,0,19,20
2016-09,0,39,11
2016-10,0,60,19
2016-11,12,39,0
2016-12,0,37,40
2017-01,0,38,0
2017-02,0,31,16
2017-03,0,21,0
2017-04,0,22,13
2017-05,0,80,18
2017-06,0,0,14
2017-07,0,25,26
2017-08,12,80,0
2017-09,0,16,14
2017-10,0,11,0
2017-11,0,42,0
2017-12,12,25,0
2018-01,0,57,13
2018-02,0,58,12
2018-03,0,27,31
2018-04,0,25,0
2018-05,0,27,0
2018-06,0,27,0
2018-07,0,0,18
2018-08,0,33,14
2018-09,13,65,36
2018-10,14,53,13
2018-11,0,24,0
2018-12,17,41,0
2019-01,0,54,20
2019-02,11,28,23
2019-03,0,22,22
2019-04,0,52,12
2019-05,0,12,11
2019-06,16,41,23
2019-07,0,17,0
2019-08,0,50,0
2019-09,0,47,0
2019-10,0,22,0
2019-11,16,57,0
2019-12,0,38,16
2020-01,13,11,0
2020-02,0,53,13
2020-03,16,38,0
2020-04,0,52,0
2020-05,26,39,0
2020-06,0,29,20
2020-07,0,42,12
2020-08,0,42,0
2020-09,8,26,21
2020-10,0,38,0
2020-11,0,54,21
2020-12,17,42,0
2021-01,0,44,13
2021-02,0,37,23
2021-03,0,39,22
2021-04,0,59,21
2021-05,7,59,22
2021-06,17,43,9
2021-07,0,51,17
2021-08,0,37,8
2021-09,13,45,12
2021-10,17,46,0
2021-11,0,32,0
2021-12,0,55,0
