Category: All categories

Month,me divorcie: (Ecuador),traicion: (Ecuador),infidelidad: (Ecuador)
2011-01,0,45,72
2011-02,0,64,30
2011-03,0,43,55
2011-04,0,58,46
2011-05,0,44,50
2011-06,0,50,55
2011-07,0,46,47
2011-08,0,60,52
2011-09,0,54,57
2011-10,0,47,57
2011-11,0,45,39
2011-12,0,54,59
2012-01,0,55,60
2012-02,3,70,47
2012-03,0,61,41
2012-04,0,53,56
2012-05,3,60,57
2012-06,0,38,59
2012-07,0,56,72
2012-08,0,60,100
2012-09,0,55,52
2012-10,0,47,55
2012-11,0,47,61
2012-12,0,42,46
2013-01,0,51,68
2013-02,0,45,62
2013-03,0,46,56
2013-04,0,49,51
2013-05,0,56,42
2013-06,4,39,48
2013-07,0,38,55
2013-08,0,44,55
2013-09,0,44,50
2013-10,0,56,48
2013-11,0,59,54
2013-12,0,63,56
2014-01,0,60,70
2014-02,0,43,56
2014-03,0,43,53
2014-04,2,49,39
2014-05,2,36,39
2014-06,0,43,57
2014-07,0,44,55
2014-08,0,44,58
2014-09,0,45,63
2014-10,0,44,59
2014-11,0,46,50
2014-12,0,46,52
2015-01,0,44,51
2015-02,3,49,59
2015-03,1,38,62
2015-04,0,44,61
2015-05,1,50,53
2015-06,0,45,56
2015-07,0,43,53
2015-08,2,50,51
2015-09,0,47,52
2015-10,0,51,50
2015-11,0,55,57
2015-12,3,52,47
2016-01,0,58,66
2016-02,0,56,59
2016-03,2,71,50
2016-04,2,53,49
2016-05,0,54,46
2016-06,0,60,46
2016-07,0,57,51
2016-08,0,47,51
2016-09,0,45,51
2016-10,1,59,52
2016-11,2,49,48
2016-12,0,78,44
2017-01,0,69,51
2017-02,0,74,46
2017-03,0,64,67
2017-04,1,75,41
2017-05,0,76,41
2017-06,0,63,42
2017-07,0,74,40
2017-08,1,83,46
2017-09,0,93,42
2017-10,0,99,43
2017-11,2,75,37
2017-12,0,94,42
2018-01,0,91,41
2018-02,2,91,41
2018-03,0,65,52
2018-04,0,71,38
2018-05,0,59,42
2018-06,0,58,38
2018-07,0,54,41
2018-08,0,52,45
2018-09,0,53,41
2018-10,0,67,35
2018-11,0,61,38
2018-12,0,67,44
2019-01,0,50,50
2019-02,0,53,47
2019-03,0,56,52
2019-04,0,48,43
2019-05,0,47,35
2019-06,0,46,43
2019-07,0,50,53
2019-08,0,49,40
2019-09,0,45,40
2019-10,1,44,36
2019-11,1,50,48
2019-12,0,44,42
2020-01,0,36,51
2020-02,0,41,49
2020-03,0,38,38
2020-04,0,40,45
2020-05,0,31,34
2020-06,1,30,28
2020-07,0,38,50
2020-08,1,29,34
2020-09,1,31,32
2020-10,0,33,33
2020-11,0,26,32
2020-12,3,33,32
2021-01,0,33,60
2021-02,1,24,29
2021-03,0,23,32
2021-04,2,24,34
2021-05,0,22,27
2021-06,0,22,28
2021-07,0,21,30
2021-08,0,18,35
2021-09,0,20,27
2021-10,0,20,31
2021-11,1,22,35
2021-12,0,20,31
