Category: All categories

Month,no tengo dinero: (Ecuador),problemas económicos: (Ecuador),deudas: (Ecuador),problemas economicos: (Ecuador)
2011-01,0,0,13,7
2011-02,3,0,13,0
2011-03,5,0,18,6
2011-04,0,0,17,2
2011-05,2,0,16,5
2011-06,0,2,18,9
2011-07,3,0,15,7
2011-08,3,0,17,3
2011-09,3,2,14,6
2011-10,2,0,18,6
2011-11,4,0,18,10
2011-12,8,4,13,5
2012-01,0,2,22,6
2012-02,3,0,14,0
2012-03,3,0,22,7
2012-04,2,3,21,4
2012-05,2,0,25,3
2012-06,2,0,22,6
2012-07,6,0,19,5
2012-08,3,0,21,6
2012-09,5,0,19,5
2012-10,4,2,17,9
2012-11,3,0,23,2
2012-12,3,1,21,2
2013-01,5,0,20,5
2013-02,5,0,20,2
2013-03,7,0,22,2
2013-04,1,2,25,5
2013-05,3,2,22,4
2013-06,3,0,19,7
2013-07,2,0,24,4
2013-08,2,0,19,3
2013-09,2,0,20,6
2013-10,4,2,20,8
2013-11,5,4,23,8
2013-12,2,0,18,3
2014-01,3,0,22,5
2014-02,7,2,19,3
2014-03,2,0,22,1
2014-04,6,0,28,3
2014-05,7,1,26,6
2014-06,5,2,29,9
2014-07,3,1,29,5
2014-08,2,1,28,3
2014-09,3,0,30,6
2014-10,3,0,21,9
2014-11,2,0,23,4
2014-12,3,0,30,5
2015-01,0,1,31,6
2015-02,4,0,31,4
2015-03,3,0,30,2
2015-04,5,0,40,3
2015-05,4,0,36,5
2015-06,4,1,32,7
2015-07,4,1,39,5
2015-08,4,1,37,6
2015-09,3,1,35,5
2015-10,3,1,34,6
2015-11,4,0,36,6
2015-12,3,3,36,7
2016-01,5,0,41,5
2016-02,6,0,39,4
2016-03,4,2,42,3
2016-04,3,1,39,4
2016-05,2,1,35,8
2016-06,4,2,40,8
2016-07,4,0,37,4
2016-08,7,0,43,5
2016-09,14,2,43,5
2016-10,6,1,32,2
2016-11,5,1,43,5
2016-12,5,1,40,5
2017-01,4,1,43,4
2017-02,5,0,45,5
2017-03,4,1,46,2
2017-04,4,3,46,9
2017-05,2,1,46,15
2017-06,3,1,47,8
2017-07,3,2,56,4
2017-08,4,1,55,3
2017-09,7,1,52,5
2017-10,5,2,48,7
2017-11,3,2,49,8
2017-12,3,1,51,5
2018-01,4,2,66,7
2018-02,3,2,63,3
2018-03,3,0,56,3
2018-04,4,1,54,7
2018-05,5,7,52,14
2018-06,5,0,55,6
2018-07,4,2,64,3
2018-08,5,1,71,3
2018-09,3,3,76,6
2018-10,4,3,68,5
2018-11,4,2,72,6
2018-12,3,4,65,4
2019-01,3,2,69,7
2019-02,4,1,67,2
2019-03,3,0,69,0
2019-04,2,1,69,6
2019-05,3,6,64,9
2019-06,4,3,57,9
2019-07,5,2,62,3
2019-08,5,1,70,2
2019-09,2,2,68,3
2019-10,2,3,68,4
2019-11,3,4,70,5
2019-12,3,3,67,3
2020-01,5,3,77,4
2020-02,3,1,70,4
2020-03,3,6,61,5
2020-04,3,7,49,5
2020-05,5,3,60,6
2020-06,4,4,67,4
2020-07,3,2,67,4
2020-08,2,2,65,4
2020-09,4,4,73,3
2020-10,4,8,69,8
2020-11,4,8,62,8
2020-12,4,5,69,5
2021-01,4,8,81,7
2021-02,6,7,75,8
2021-03,4,4,82,4
2021-04,6,4,80,2
2021-05,5,5,78,3
2021-06,5,4,100,3
2021-07,6,4,90,4
2021-08,5,2,92,3
2021-09,4,6,83,1
2021-10,3,5,68,3
2021-11,5,4,73,3
2021-12,5,4,73,4
