Category: All categories

Month,abuso sexual: (Ecuador),violacion sexual: (Ecuador),violencia familiar: (Ecuador),violencia doméstica + violencia domestica: (Ecuador),maltrato familiar: (Ecuador)
2011-01,28,13,8,0,9
2011-02,25,6,10,0,4
2011-03,15,3,13,0,4
2011-04,27,0,3,4,4
2011-05,28,4,17,4,3
2011-06,28,3,7,5,0
2011-07,12,5,10,0,5
2011-08,28,6,8,3,0
2011-09,17,5,8,0,5
2011-10,25,2,10,5,0
2011-11,21,10,20,0,8
2011-12,23,0,10,4,8
2012-01,26,6,7,7,4
2012-02,16,5,0,0,3
2012-03,22,5,6,0,2
2012-04,19,4,6,9,4
2012-05,21,2,9,0,0
2012-06,34,3,2,0,0
2012-07,19,6,9,5,3
2012-08,17,6,11,0,2
2012-09,13,3,7,2,0
2012-10,29,3,2,0,2
2012-11,22,5,16,0,7
2012-12,10,0,7,0,5
2013-01,16,4,7,0,3
2013-02,8,2,4,0,2
2013-03,21,5,3,0,3
2013-04,20,3,9,3,3
2013-05,23,4,11,4,2
2013-06,20,0,9,4,7
2013-07,12,5,3,2,4
2013-08,15,5,7,6,4
2013-09,19,5,7,3,4
2013-10,27,5,6,2,0
2013-11,37,4,9,4,5
2013-12,21,5,8,5,2
2014-01,30,9,6,2,2
2014-02,16,5,2,3,0
2014-03,27,3,2,0,2
2014-04,19,0,5,2,1
2014-05,12,3,10,3,3
2014-06,14,8,8,0,3
2014-07,11,4,12,3,2
2014-08,12,0,14,2,2
2014-09,10,2,5,8,1
2014-10,14,5,8,3,3
2014-11,21,0,12,2,7
2014-12,16,1,9,3,0
2015-01,15,3,10,3,1
2015-02,14,4,10,3,5
2015-03,16,3,11,1,2
2015-04,18,2,10,0,2
2015-05,17,3,7,0,1
2015-06,14,1,9,5,2
2015-07,9,4,11,3,5
2015-08,9,2,6,3,0
2015-09,10,2,7,0,0
2015-10,16,4,7,2,3
2015-11,15,2,9,1,4
2015-12,14,3,3,2,4
2016-01,12,4,10,1,4
2016-02,5,2,9,5,3
2016-03,19,3,8,0,2
2016-04,13,0,8,3,4
2016-05,20,5,8,4,0
2016-06,16,1,10,4,3
2016-07,19,1,8,2,0
2016-08,15,1,6,4,4
2016-09,17,2,5,3,4
2016-10,16,3,6,0,1
2016-11,22,2,9,2,4
2016-12,17,3,7,4,2
2017-01,18,2,9,4,3
2017-02,24,3,5,2,4
2017-03,13,2,6,1,1
2017-04,16,2,5,1,3
2017-05,14,3,6,3,1
2017-06,22,3,7,3,2
2017-07,16,5,6,2,0
2017-08,19,4,6,0,5
2017-09,15,2,7,2,0
2017-10,78,6,15,1,12
2017-11,100,5,16,4,5
2017-12,46,0,8,1,3
2018-01,46,4,11,1,3
2018-02,27,3,5,4,3
2018-03,23,3,5,2,2
2018-04,34,4,13,0,2
2018-05,37,3,7,2,3
2018-06,34,3,11,2,3
2018-07,32,3,13,0,8
2018-08,30,2,8,2,3
2018-09,23,2,9,2,0
2018-10,58,5,13,4,3
2018-11,59,3,23,3,3
2018-12,25,2,8,3,3
2019-01,34,1,12,2,0
2019-02,23,3,4,2,3
2019-03,22,4,10,0,2
2019-04,17,0,8,0,0
2019-05,27,3,14,0,3
2019-06,26,3,11,1,2
2019-07,33,4,7,0,1
2019-08,23,4,11,0,2
2019-09,15,2,5,0,4
2019-10,19,1,8,3,2
2019-11,27,4,13,4,5
2019-12,17,0,7,0,0
2020-01,26,2,5,2,3
2020-02,18,4,8,3,0
2020-03,13,2,4,1,0
2020-04,10,3,4,2,0
2020-05,15,5,18,7,1
2020-06,20,2,54,6,5
2020-07,21,4,24,2,2
2020-08,17,4,12,4,2
2020-09,17,0,11,3,2
2020-10,32,3,15,4,2
2020-11,45,2,16,4,2
2020-12,42,0,14,2,2
2021-01,33,4,13,3,3
2021-02,15,2,11,4,1
2021-03,16,2,9,3,1
2021-04,14,3,7,2,0
2021-05,16,2,6,3,2
2021-06,19,3,8,4,2
2021-07,18,2,11,4,2
2021-08,31,2,5,3,1
2021-09,20,3,5,2,1
2021-10,42,5,7,2,3
2021-11,95,5,19,8,3
2021-12,73,6,13,5,1
