Category: All categories

Month,extorsión + extorsion: (Ecuador),amenazas: (Ecuador),bullying: (Ecuador)
2011-01,0,8,5
2011-02,2,7,5
2011-03,1,6,5
2011-04,0,8,5
2011-05,0,8,6
2011-06,1,5,3
2011-07,1,5,3
2011-08,0,9,4
2011-09,2,10,4
2011-10,0,7,10
2011-11,0,11,11
2011-12,0,8,9
2012-01,0,8,9
2012-02,0,5,12
2012-03,1,6,9
2012-04,1,8,13
2012-05,0,8,17
2012-06,1,8,11
2012-07,1,6,14
2012-08,1,7,13
2012-09,1,9,27
2012-10,1,9,28
2012-11,2,11,38
2012-12,2,6,27
2013-01,1,7,28
2013-02,2,4,18
2013-03,1,9,23
2013-04,1,9,34
2013-05,1,9,42
2013-06,2,9,64
2013-07,1,9,42
2013-08,<1,8,38
2013-09,<1,11,43
2013-10,1,7,59
2013-11,1,13,69
2013-12,1,5,50
2014-01,1,9,54
2014-02,3,5,40
2014-03,<1,5,38
2014-04,1,7,42
2014-05,<1,9,47
2014-06,1,7,53
2014-07,2,9,38
2014-08,1,7,43
2014-09,1,8,39
2014-10,1,8,43
2014-11,1,11,40
2014-12,1,7,37
2015-01,1,9,44
2015-02,1,6,33
2015-03,1,7,33
2015-04,1,6,32
2015-05,2,10,43
2015-06,1,8,52
2015-07,1,11,36
2015-08,1,7,39
2015-09,1,7,42
2015-10,1,9,37
2015-11,1,15,38
2015-12,2,10,35
2016-01,2,11,38
2016-02,1,7,28
2016-03,1,6,24
2016-04,1,7,22
2016-05,1,11,28
2016-06,3,18,27
2016-07,2,9,21
2016-08,2,8,25
2016-09,1,6,40
2016-10,<1,7,41
2016-11,0,9,40
2016-12,1,7,30
2017-01,2,10,31
2017-02,2,7,22
2017-03,3,7,22
2017-04,1,6,20
2017-05,1,10,38
2017-06,2,9,38
2017-07,1,8,26
2017-08,2,8,26
2017-09,2,8,34
2017-10,2,10,47
2017-11,2,11,39
2017-12,2,6,30
2018-01,5,12,38
2018-02,3,8,24
2018-03,3,9,24
2018-04,2,11,49
2018-05,2,13,64
2018-06,1,11,100
2018-07,2,8,41
2018-08,3,8,39
2018-09,1,7,37
2018-10,2,12,41
2018-11,3,11,41
2018-12,2,7,25
2019-01,4,12,41
2019-02,2,11,21
2019-03,2,7,24
2019-04,2,9,26
2019-05,2,11,42
2019-06,2,11,38
2019-07,2,9,33
2019-08,3,8,28
2019-09,3,7,33
2019-10,2,11,34
2019-11,2,13,33
2019-12,2,8,27
2020-01,3,13,31
2020-02,3,11,22
2020-03,3,8,19
2020-04,2,11,16
2020-05,1,11,21
2020-06,2,11,21
2020-07,2,13,18
2020-08,3,17,17
2020-09,2,18,19
2020-10,3,19,22
2020-11,2,26,19
2020-12,3,15,22
2021-01,3,28,22
2021-02,3,21,20
2021-03,3,17,24
2021-04,2,15,16
2021-05,1,27,38
2021-06,2,24,33
2021-07,1,14,20
2021-08,2,13,18
2021-09,2,14,22
2021-10,2,13,24
2021-11,3,15,22
2021-12,2,15,22
