|MortalityXDigital|MortalityXStress|MortalityXTrauma|MortalityXGeneral|MortalityXMood|MortalityXMinorities|MortalityXDisorders|MortalityXPrevention|MortalityXSeeking|Mortality_femaleXDigital|Mortality_femaleXStress|Mortality_femaleXTrauma|Mortality_femaleXGeneral|Mortality_femaleXMood|Mortality_femaleXMinorities|Mortality_femaleXDisorders|Mortality_femaleXPrevention|Mortality_femaleXSeeking|Mortality_maleXDigital|Mortality_maleXStress|Mortality_maleXTrauma|Mortality_maleXGeneral|Mortality_maleXMood|Mortality_maleXMinorities|Mortality_maleXDisorders|Mortality_maleXPrevention|Mortality_maleXSeeking|Mortality_teensXDigital|Mortality_teensXStress|Mortality_teensXTrauma|Mortality_teensXGeneral|Mortality_teensXMood|Mortality_teensXMinorities|Mortality_teensXDisorders|Mortality_teensXPrevention|Mortality_teensXSeeking|Mortality_young_adultsXDigital|Mortality_young_adultsXStress|Mortality_young_adultsXTrauma|Mortality_young_adultsXGeneral|Mortality_young_adultsXMood|Mortality_young_adultsXMinorities|Mortality_young_adultsXDisorders|Mortality_young_adultsXPrevention|Mortality_young_adultsXSeeking|Mortality_adultsXDigital|Mortality_adultsXStress|Mortality_adultsXTrauma|Mortality_adultsXGeneral|Mortality_adultsXMood|Mortality_adultsXMinorities|Mortality_adultsXDisorders|Mortality_adultsXPrevention|Mortality_adultsXSeeking|Mortality_seniorsXDigital|Mortality_seniorsXStress|Mortality_seniorsXTrauma|Mortality_seniorsXGeneral|Mortality_seniorsXMood|Mortality_seniorsXMinorities|Mortality_seniorsXDisorders|Mortality_seniorsXPrevention|Mortality_seniorsXSeeking|Mortality_amazonXDigital|Mortality_amazonXStress|Mortality_amazonXTrauma|Mortality_amazonXGeneral|Mortality_amazonXMood|Mortality_amazonXMinorities|Mortality_amazonXDisorders|Mortality_amazonXPrevention|Mortality_amazonXSeeking|Mortality_coastalXDigital|Mortality_coastalXStress|Mortality_coastalXTrauma|Mortality_coastalXGeneral|Mortality_coastalXMood|Mortality_coastalXMinorities|Mortality_coastalXDisorders|Mortality_coastalXPrevention|Mortality_coastalXSeeking|Mortality_highlandsXDigital|Mortality_highlandsXStress|Mortality_highlandsXTrauma|Mortality_highlandsXGeneral|Mortality_highlandsXMood|Mortality_highlandsXMinorities|Mortality_highlandsXDisorders|Mortality_highlandsXPrevention|Mortality_highlandsXSeeking
Lag 0|-0.01018 |0.54878 ***|0.3034 ***|0.27392 ***|0.34234 ***|0.19133 ***|0.43526 ***|0.43866 ***|0.3287 ***|0.00293 |0.14969 *|0.12533 |0.09676 |0.07529 |-0.05826 |0.15334 *|0.09068 |0.13055 |-0.04749 |0.55427 ***|0.2904 ***|0.28176 ***|0.33767 ***|0.21771 ***|0.40417 ***|0.45578 ***|0.31279 ***|-0.07383 |0.17945 ***|0.12662 |0.15531 *|0.13933 |0.09229 |0.06607 |0.09261 |0.0648 |0.0206 |0.46151 ***|0.24336 ***|0.26846 ***|0.26191 ***|0.09205 |0.42481 ***|0.37566 ***|0.37086 ***|-0.06584 |0.3778 ***|0.11546 |0.10293 |0.22573 ***|0.12201 |0.21856 ***|0.36063 ***|0.15878 *|-0.0166 |0.03326 |0.10551 |0.02786 |0.04319 |0.06962 |0.19085 ***|0.03608 |-0.00602 |0.06656 |-0.02073 |0.13181 |0.10967 |0.02764 |-0.06983 |-0.0202 |0.03889 |0.01741 |-0.07236 |0.36079 ***|0.2149 ***|0.20283 ***|0.31931 ***|0.12713 |0.40022 ***|0.34387 ***|0.17815 ***|-0.01346 |0.52964 ***|0.25018 ***|0.189 ***|0.24314 ***|0.21374 ***|0.34868 ***|0.39012 ***|0.34511 ***
Lag 1|-0.08068 |-0.09573 |-0.12138 |0.01415 |-0.09349 |0.02226 |-0.09228 |-0.01089 |0.04209 |-0.09328 |-0.05549 |-0.00655 |0.13472 |0.0206 |0.05191 |-0.08879 |-0.0036 |-0.0248 |-0.07139 |-0.05966 |-0.13369 |-0.00625 |-0.08919 |0.01087 |-0.03688 |0.01648 |0.1002 |-0.13783 |-0.03136 |-0.00131 |0.10467 |-0.04562 |0.04742 |0.01612 |-0.01404 |0.03876 |0.02307 |-0.05191 |-0.15172 *|0.10216 |-0.03652 |0.03312 |-0.10694 |0.06932 |-0.00587 |-0.09785 |0.04008 |-0.02837 |-0.07477 |-0.05167 |0.0013 |0.00465 |0.08133 |0.0772 |-0.19791 ***|-0.08709 |-0.04058 |-0.05386 |0.03676 |0.07773 |0.00314 |-0.13198 |0.01612 |-0.06578 |0.08521 |-0.06458 |0.06961 |0.12494 |0.11459 |0.01726 |0.09721 |-0.04905 |-0.15405 *|-0.10806 |-0.09776 |-0.01813 |0.00487 |-0.01262 |-0.0312 |-0.00174 |0.10201 |-0.0165 |-0.08343 |-0.0934 |0.02159 |-0.18926 ***|0.02678 |-0.11728 |-0.03394 |-0.00063 
Lag 2|0.05243 |0.10607 |0.00053 |-0.0436 |-0.09471 |0.06291 |-0.01686 |-0.05248 |-0.04387 |-0.02725 |0.14151 |0.07173 |0.05967 |0.11145 |0.14536 *|0.07952 |0.06008 |0.08162 |0.06474 |0.08177 |-0.02223 |-0.05804 |-0.15478 *|0.03391 |-0.05627 |-0.09112 |-0.09062 |0.02294 |0.04501 |-0.02482 |-0.01116 |-0.03779 |0.04883 |-0.07276 |0.0905 |0.07473 |0.04585 |0.12785 |0.10583 |-0.06668 |-0.09348 |0.15412 *|0.08206 |-0.00762 |-0.06542 |0.01507 |-0.04815 |-0.17809 ***|-0.04375 |-0.13431 |-0.07576 |-0.13433 |-0.21019 ***|-0.00796 |-0.09093 |0.07503 |-0.02627 |0.08983 |0.03665 |-0.06151 |0.12677 |-0.00603 |-0.07267 |0.11016 |0.27166 ***|0.14606 *|0.03803 |0.04838 |0.09917 |0.14658 *|0.0674 |0.02621 |0.05149 |0.10527 |-0.03214 |-0.04021 |0.03429 |0.08018 |0.04909 |0.03261 |0.03173 |-0.01404 |0.00358 |-0.03207 |-0.03111 |-0.165 *|0.03825 |-0.0765 |-0.10012 |-0.08605 
Lag 3|-0.01175 |-0.13642 |-0.11002 |-0.19196 ***|-0.08823 |-0.06472 |-0.19082 ***|-0.20334 ***|-0.15031 *|-0.0317 |-0.08655 |-0.04571 |-0.1184 |-0.04143 |0.0214 |-0.04668 |-0.16113 *|-0.08837 |-0.01758 |-0.12063 |-0.11271 |-0.18559 ***|-0.06901 |-0.0731 |-0.2108 ***|-0.18764 ***|-0.1423 |-0.07663 |-0.06322 |0.00514 |-0.02453 |-0.04678 |0.03425 |-0.03647 |-0.14078 |0.04479 |-0.01243 |-0.15848 *|-0.15786 *|-0.24545 ***|-0.06867 |-0.12732 |-0.26075 ***|-0.19861 ***|-0.24386 ***|0.06994 |0.03535 |-0.02988 |-0.09786 |-0.06272 |0.06235 |0.00623 |-0.06591 |-0.02903 |-0.10677 |-0.08373 |-0.02509 |-0.04604 |-0.00789 |-0.0065 |-0.05924 |-0.02518 |-0.03607 |-0.0556 |-0.10813 |-0.18548 ***|-0.21564 ***|-0.1502 *|-0.11297 |-0.19383 ***|-0.10999 |-0.05813 |-0.03745 |-0.12211 |-0.11443 |-0.12479 |-0.14519 *|-0.03336 |-0.19836 ***|-0.21104 ***|-0.05416 |0.00897 |-0.06377 |-0.02943 |-0.13354 |0.04028 |-0.02631 |-0.07943 |-0.10679 |-0.16105 *
Lag 4|-0.03095 |0.09146 |0.04497 |-0.00084 |0.09537 |-0.13185 |0.08509 |0.00157 |-0.03842 |-0.08614 |0.09257 |-0.02766 |-0.00558 |0.0828 |-0.1333 |0.01624 |0.01189 |-0.05217 |-0.01705 |0.07686 |0.07064 |0.00311 |0.09734 |-0.10886 |0.10761 |-0.01715 |-0.02806 |0.00081 |0.04675 |-0.03924 |-0.06092 |0.14693 *|-0.11724 |0.05367 |0.01555 |0.01387 |0.01364 |0.04631 |-0.04833 |-0.00135 |-0.00195 |-0.10129 |-0.01938 |0.02002 |0.02948 |-0.0925 |0.04238 |0.14951 *|0.02723 |0.0261 |-0.1235 |0.07842 |-0.06892 |-0.18866 ***|-0.1527 *|0.03218 |0.05314 |-0.06606 |0.1522 *|-0.0265 |0.17038 *|-0.02749 |0.08997 |-0.03249 |0.10858 |0.04624 |0.01995 |0.10686 |0.0282 |0.20038 ***|-0.00876 |0.11054 |-0.0249 |0.02009 |-0.01718 |-0.14682 *|-0.03135 |-0.16244 *|-0.04871 |-0.13167 |-0.03718 |-0.02775 |0.09415 |0.04422 |0.08215 |0.13202 |-0.09323 |0.10406 |0.09841 |-0.06276 
Lag 5|0.06033 |0.10709 |-0.07916 |0.06397 |-0.02858 |-0.07331 |0.03347 |0.01801 |0.04889 |0.16155 *|0.246 ***|-0.03074 |0.08001 |-0.01456 |-0.02199 |0.13257 |0.04674 |0.19949 ***|-0.01093 |0.05176 |-0.09111 |0.06032 |-0.00979 |-0.0961 |-0.00503 |0.01016 |-0.01891 |0.1286 |0.24087 ***|-0.04521 |0.13881 |0.04353 |-0.08973 |0.08499 |0.04713 |0.13003 |0.059 |0.12988 |-0.05175 |0.02233 |0.04121 |-0.00693 |0.11628 |0.06116 |0.04004 |-0.08045 |-0.01607 |0.00451 |0.03574 |-0.11551 |-0.05916 |-0.04736 |-0.05921 |0.00988 |-0.0188 |0.03324 |-0.06439 |0.00575 |0.09389 |-0.13296 |-0.0192 |0.06111 |-0.03059 |0.02996 |0.07387 |0.05889 |0.00212 |0.0751 |-0.02611 |0.11742 |0.02875 |0.14473 *|0.06245 |0.02458 |-0.05759 |0.07578 |-0.0194 |-0.09311 |-0.03491 |-0.02065 |-0.02811 |0.04796 |0.15417 *|-0.09959 |0.00998 |-0.03939 |-0.03605 |0.03555 |0.02558 |0.05061 
Lag 6|0.01375 |-0.04191 |-0.03271 |-0.1136 |-0.05554 |0.00429 |-0.00664 |0.01321 |-0.0585 |0.0738 |-0.05562 |0.00663 |-0.05883 |0.00768 |-0.03988 |0.04588 |0.01609 |-0.04958 |-0.00927 |0.00548 |-0.0469 |-0.10698 |-0.06657 |0.02784 |-0.00476 |0.01888 |-0.02348 |-0.00662 |0.11788 |0.00714 |0.04921 |0.06151 |-0.08606 |0.05504 |-0.05574 |-0.11765 |-0.04077 |-0.06647 |-0.07525 |-0.14971 *|-0.10276 |0.06221 |-0.03144 |0.01835 |0.09705 |-0.06602 |-0.11153 |-0.14542 *|-0.13439 |-0.03671 |-0.03105 |-0.07481 |0.00462 |-0.11068 |0.23847 ***|0.04302 |0.1577 *|0.0282 |-0.04497 |-0.12319 |0.08192 |0.07526 |-0.0821 |0.103 |0.05916 |0.03837 |-0.11416 |-0.0438 |-0.11818 |-0.05505 |-0.00263 |0.02664 |0.08712 |0.04071 |0.00741 |0.03828 |0.01559 |-0.04074 |0.01111 |0.05591 |-0.05554 |-0.05666 |-0.09067 |-0.06258 |-0.17512 ***|-0.08573 |0.05085 |0.00423 |-0.03915 |-0.03306 
Lag 7|-0.15711 *|-0.037 |0.01905 |-0.07108 |-0.10348 |-0.00611 |-0.12587 |0.00349 |0.02516 |-0.16893 *|0.10586 |-0.02493 |-0.02992 |0.01705 |0.09168 |-0.12946 |0.01389 |0.06019 |-0.13435 |-0.09224 |0.03774 |-0.08046 |-0.13163 |-0.0497 |-0.09902 |0.00106 |0.01046 |-0.18629 ***|0.09027 |0.11714 |-0.08778 |0.10226 |0.18012 ***|0.00077 |0.10612 |0.10009 |-0.07954 |-0.04534 |0.02324 |-0.04238 |-0.1189 |-0.03636 |-0.12636 |-0.06924 |-0.07775 |-0.14255 |0.01421 |0.05785 |-0.02085 |-0.06659 |-0.08377 |-0.03334 |0.08981 |0.03994 |-0.04747 |0.02371 |-0.10779 |-0.01108 |-0.0907 |-0.04528 |-0.08428 |-0.03462 |0.10713 |-0.03939 |0.13459 |0.03 |0.11463 |0.0217 |-0.00475 |0.07804 |0.00747 |-0.02091 |-0.15281 *|-0.02201 |-0.11568 |-0.05004 |-0.10803 |-0.0661 |-0.11133 |0.04489 |0.07191 |-0.11137 |-0.05069 |0.08619 |-0.12256 |-0.07464 |0.03185 |-0.12678 |-0.0225 |-0.00707 
Lag 8|-0.00154 |0.02603 |-0.01226 |0.0527 |0.01458 |0.12319 |0.0644 |0.06028 |0.01519 |0.03308 |0.05349 |0.01097 |0.03357 |0.08775 |0.10985 |0.10911 |-0.03163 |-0.0305 |-0.02145 |0.03713 |-0.02235 |0.05959 |-0.00525 |0.13038 |0.03039 |0.09733 |0.04707 |-0.05697 |0.01065 |-0.00982 |-0.02005 |-0.04459 |-0.07236 |-0.10878 |-0.02693 |0.02332 |0.02871 |-0.02483 |-0.00898 |-0.00385 |0.02319 |0.17298 **|0.02184 |0.00793 |0.01647 |-0.02929 |0.03158 |0.01819 |0.13483 |0.04538 |0.05491 |0.17014 *|0.10293 |0.04572 |0.03041 |0.09978 |-0.01683 |0.00961 |-0.10591 |0.08345 |-0.03277 |0.11597 |-0.066 |0.02961 |-0.04385 |-0.08812 |0.01857 |0.01901 |0.01817 |-0.01448 |-0.01225 |-0.11363 |-0.02226 |0.02658 |0.09025 |0.07596 |0.03157 |0.07808 |0.05094 |0.11191 |0.05854 |0.01387 |0.05362 |-0.06409 |0.01792 |-0.01345 |0.09574 |0.06106 |0.02428 |0.02351 
Lag 9|-0.00295 |0.04793 |-0.0596 |0.05487 |-0.00153 |0.00488 |0.09536 |0.04308 |-0.13127 |-0.03686 |0.05975 |-0.16929 *|-0.04155 |0.05196 |-0.00656 |0.00561 |0.05464 |-0.14026 |0.01401 |0.05842 |-0.00641 |0.1027 |-0.00228 |0.0245 |0.14404 *|0.03019 |-0.11042 |0.00613 |0.00877 |-0.02749 |-0.05198 |-0.18782 ***|-0.01528 |-0.01825 |0.00136 |-0.09308 |-0.01259 |0.0721 |0.03681 |0.11938 |0.10458 |-0.03097 |0.15753 *|0.04231 |-0.13206 |0.02166 |0.1176 |-0.11142 |0.09818 |0.04729 |0.1333 |0.10482 |0.05544 |-0.04181 |-0.06283 |0.00402 |-0.06685 |-0.09929 |-0.03101 |0.08684 |-0.09645 |0.09763 |0.00082 |-0.08503 |-0.0309 |-0.13352 |0.00442 |-0.00677 |-0.21765 ***|-0.05786 |-0.09741 |-0.12364 |0.02391 |0.13435 |-0.02539 |0.04136 |0.0447 |0.03232 |0.03686 |0.1268 |-0.07645 |-0.00774 |-0.00415 |-0.06396 |0.06072 |-0.02764 |0.03029 |0.1337 |0.00156 |-0.0955 
